year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1946;663.7738647;713.6122437;583.9217529;424.9371643;419.8202209;536.8970947;564.1957397;470.4942322;547.5391235;579.8948364;550.5086273
1947;741.0317993;689.3880005;676.305603;496.7307434;484.4022827;656.1110229;656.7119751;669.1744995;711.0568237;736.9104614;651.7823212
1948;648.4766235;704.6867676;691.8973389;531.4260254;458.7887573;677.597229;659.3977661;656.3068848;492.3699036;653.0778198;617.4025116
1949;597.2166748;609.6558838;512.3710938;415.8163757;392.9602356;651.6074829;528.9108887;614.3669434;413.6651001;546.1343384;528.2705017
1950;582.9384766;418.5277405;370.1972656;361.4611511;344.0045166;419.1404114;437.0655518;579.4889526;389.7705078;382.5289307;428.5123505
1951;539.9165039;439.9356689;462.6887512;335.748291;310.9137268;463.5893555;442.3943176;469.7953796;437.9500732;391.8901672;429.4822235
1952;736.7046509;698.3856812;574.0247192;613.2089844;408.5703735;697.46698;443.6234436;782.9499512;592.5785522;630.1444092;617.7657745
1953;686.3379517;631.0814209;641.7717285;638.2052002;424.5004578;655.3032837;519.7189331;664.0911255;505.3479004;674.885376;604.1243378
1954;674.5462646;520.545105;541.9645996;423.691925;413.9061279;615.5540771;514.7383423;578.7644043;547.295166;503.1747437;533.4180756
1955;700.2559204;602.9787598;605.1274414;491.0436401;391.7512817;614.5813599;489.4107056;600.6259155;581.0708618;548.3256226;562.5171509
1956;651.9673462;536.666687;678.4536133;471.7462769;406.5881042;581.5378418;502.8549194;701.7086182;565.7866211;561.3278198;565.8637848
1957;763.0167847;655.4902344;890.7711182;575.2761841;495.827301;647.3098145;657.0274658;724.5552979;610.2913208;595.1585693;661.4724091
1958;823.7611084;565.963623;785.3013306;475.2565613;470.6457825;687.5006714;499.4388428;771.7752686;732.9802246;594.3525391;640.6975952
1959;754.9415894;689.1265259;787.4476318;482.9431152;509.0782166;632.1947021;616.7445068;698.0497437;412.8170471;709.4383545;629.2781433
1960;718.6937256;676.4507446;711.9225464;671.27948;483.3804626;704.3425903;470.7698975;718.9229736;728.7255249;783.9695435;666.8457489
1961;650.6459961;545.9754028;586.4284668;473.8025818;478.1328125;543.4432373;439.5210876;583.609436;583.4545288;502.1820984;538.7195648
1962;647.2340698;545.5804443;541.1010742;408.9330444;393.3808594;545.1565552;541.8882446;529.6828003;383.3601379;582.649292;511.8966522
