year,MaxLABIL01_,MaxLABIL02_,MaxLABIL04_,MaxLABIL06_,MaxLABIL07_,MaxLABIL10_,MaxLABIL11_,MaxLABIL13_,MaxLABIL14_,MaxLABIL16_
1926,2423.697509765625,2430.1259765625,2265.72607421875,1602.637939453125,1814.99169921875,2193.558349609375,2101.404541015625,2459.718505859375,1584.21923828125,1894.166748046875
1927,2416.400146484375,1904.7607421875,2487.59033203125,1801.118408203125,1748.0682373046875,2242.50927734375,2067.335205078125,2469.53125,2466.258056640625,2201.75439453125
1928,2465.789794921875,2392.812255859375,2418.697021484375,2175.556396484375,1965.498291015625,2483.94677734375,2109.064453125,2413.85888671875,2081.114013671875,1581.0379638671875
1929,2476.692626953125,1883.5009765625,2437.8310546875,1778.6534423828125,1990.0733642578125,2474.547607421875,2353.71875,2493.03076171875,2275.34033203125,2431.16845703125
1930,2407.428955078125,2352.5419921875,2420.526611328125,2109.958251953125,1948.7698974609375,2485.101318359375,2142.58251953125,2482.117431640625,1916.458984375,2294.59375
1931,2488.572265625,2159.123046875,2210.259033203125,2072.423095703125,1941.3441162109375,2442.222412109375,2491.443359375,2385.94677734375,2114.612060546875,2332.1279296875
1932,2453.691650390625,2286.337890625,2487.60595703125,1803.010986328125,1784.3433837890625,2390.2294921875,2414.5439453125,2486.6796875,1504.4908447265625,2299.43017578125
1933,2386.74658203125,2247.545166015625,2223.80712890625,1560.6558837890625,2097.0361328125,2435.27587890625,2401.495849609375,2167.95703125,1507.2041015625,1970.469482421875
1934,2382.412353515625,2489.372314453125,2420.94482421875,1382.965087890625,1542.86328125,2051.957763671875,2495.62939453125,2224.597900390625,1304.0621337890625,1520.1878662109375
1935,2387.9521484375,2041.9173583984375,2487.6396484375,2070.748046875,1993.9644775390625,2499.11572265625,2299.511962890625,2469.06103515625,1533.6373291015625,2026.6136474609375
1936,2476.252685546875,1390.087646484375,2373.544921875,1607.02001953125,1846.5211181640625,2402.9765625,2261.710693359375,1548.8668212890625,2098.57958984375,1357.302001953125
1937,2434.258544921875,2319.241943359375,2475.514404296875,1851.8359375,2141.159423828125,2433.24755859375,2311.791259765625,2197.6298828125,2228.063720703125,2456.177978515625
1938,2444.3916015625,1831.984375,2225.851318359375,1303.0284423828125,2317.255859375,2162.560791015625,2328.44384765625,2199.8212890625,1861.3013916015625,1914.4693603515625
1939,2293.222412109375,1989.364990234375,2379.993408203125,1977.7684326171875,2270.365234375,2490.279052734375,2351.691162109375,2094.338623046875,2075.047607421875,1800.4898681640625
1940,2382.5830078125,1970.566650390625,2497.135009765625,1931.3580322265625,2429.899169921875,2486.310546875,2430.43212890625,2440.187255859375,2060.408447265625,1920.6519775390625
1941,2471.279052734375,2220.6259765625,2492.739013671875,2136.19970703125,1881.2724609375,2393.897216796875,2380.69384765625,2488.421875,2062.319091796875,2419.127197265625
1942,2466.024169921875,1890.35595703125,2425.9130859375,1990.7032470703125,2019.233154296875,2392.68408203125,2266.197998046875,2326.732666015625,2197.011474609375,1584.18408203125
1943,2455.267822265625,2219.431396484375,2485.873779296875,2157.670654296875,2200.40283203125,2476.01904296875,2399.56689453125,2472.110595703125,2489.817138671875,2362.26416015625
1944,2377.552978515625,2029.2041015625,2456.825439453125,1945.5931396484375,1925.767822265625,1972.73583984375,2482.632568359375,2408.03564453125,1632.9627685546875,2114.022705078125
1945,2412.220458984375,2109.849365234375,2434.2861328125,23.640295028686523,1901.0909423828125,2453.714599609375,2439.285888671875,2403.186279296875,1882.85498046875,2231.298583984375
1946,2425.758056640625,2350.8837890625,2487.66259765625,1800.94189453125,1825.5838623046875,2266.6083984375,2329.12646484375,1925.6129150390625,1567.2965087890625,2077.213623046875
1947,2482.110107421875,2354.549560546875,2492.07177734375,2455.76708984375,1992.1759033203125,2296.9111328125,2486.91455078125,2405.522705078125,1959.35107421875,2328.638427734375
1948,2497.11865234375,2415.857421875,2488.885986328125,2450.878662109375,2052.930908203125,2347.56591796875,2360.9775390625,2383.048095703125,1542.9791259765625,2231.550537109375
1949,2494.04931640625,2382.662109375,2065.94384765625,2269.274169921875,1984.7825927734375,2325.884521484375,2434.06982421875,2180.8525390625,1777.553955078125,2389.93115234375
1950,2449.293701171875,1351.9476318359375,1802.711669921875,2296.83544921875,1875.5372314453125,2034.174072265625,2254.708251953125,2449.382568359375,1715.6556396484375,1548.9857177734375
1951,2478.279052734375,2479.156494140625,2091.74267578125,2317.768310546875,1745.50146484375,1884.3480224609375,2270.3994140625,2014.8782958984375,1808.469482421875,2235.18359375
1952,2420.27099609375,2228.917236328125,2486.98828125,2329.136962890625,1797.4849853515625,1990.90185546875,2264.5419921875,2161.68798828125,1569.1619873046875,2147.01318359375
1953,2329.713623046875,2038.0252685546875,2388.217529296875,1944.2562255859375,1785.1097412109375,1721.3531494140625,2450.3818359375,2059.521728515625,1184.0411376953125,2192.8828125
1954,2354.184326171875,2311.46875,2257.646728515625,2294.22265625,1537.4364013671875,1886.7135009765625,2348.765625,1505.177001953125,1672.835205078125,2009.4599609375
1955,2394.393310546875,2265.387939453125,2136.980712890625,2350.131591796875,1477.889892578125,2130.724853515625,2119.971435546875,1863.3607177734375,1888.218505859375,2080.827392578125
1956,2451.701904296875,2475.24169921875,2474.127685546875,2397.74755859375,2096.5009765625,2139.481201171875,2421.596923828125,2092.669189453125,1976.2965087890625,2272.3212890625
1957,2462.54248046875,2409.68603515625,2497.30419921875,2291.81884765625,1819.3515625,2380.49853515625,2483.7333984375,2017.5350341796875,2093.775634765625,2415.0595703125
1958,2499.42578125,2444.9091796875,2457.455810546875,2409.82958984375,2158.64990234375,2482.30078125,2458.934814453125,2223.322998046875,2232.1357421875,2330.3818359375
1959,2351.09130859375,2474.209228515625,2492.9072265625,2313.726806640625,2240.649169921875,2489.008544921875,2494.95458984375,2418.451171875,1836.6041259765625,2439.30419921875
1960,2477.17822265625,2460.432373046875,2464.882080078125,2261.073974609375,2359.827880859375,2490.115478515625,2377.66650390625,2400.74609375,2196.58251953125,2373.348876953125
1961,2483.52587890625,1911.4178466796875,1780.1431884765625,2177.53271484375,1910.478759765625,2178.693115234375,2321.1044921875,1389.3924560546875,1662.7930908203125,2141.275390625
1962,2360.519775390625,2433.557373046875,1860.3280029296875,2364.587646484375,2327.802978515625,2408.59619140625,2492.945068359375,2270.60791015625,1670.8492431640625,2181.477783203125
1963,2325.71484375,2175.4384765625,2416.034423828125,2447.68505859375,1900.0301513671875,2421.035400390625,2386.513671875,1781.0145263671875,1809.3558349609375,2407.44482421875
1964,2488.25244140625,2278.760498046875,2402.947998046875,2435.558837890625,1697.640625,2479.716552734375,2412.725341796875,2092.3076171875,1767.9410400390625,2246.609375
1965,2364.841552734375,2459.7255859375,2486.92626953125,2347.82958984375,1960.8231201171875,2439.646728515625,2475.381591796875,1903.0701904296875,1677.027099609375,2498.4833984375
1966,2407.78515625,2463.5634765625,2479.502685546875,2301.08154296875,2203.963134765625,2148.053955078125,2221.151611328125,1923.045166015625,1714.1328125,1933.3125
1967,2367.5576171875,2309.73388671875,2413.328369140625,2092.94775390625,2357.343994140625,2078.31103515625,2231.833740234375,1941.8946533203125,2392.979736328125,2243.97509765625
1968,2483.829833984375,2434.51025390625,2451.24462890625,2388.055908203125,2018.1326904296875,2494.2646484375,2493.291015625,1760.7430419921875,1735.5443115234375,2339.31494140625
1969,2498.628173828125,2153.49853515625,2378.70361328125,2461.302978515625,2130.568603515625,2427.75390625,2396.087646484375,1912.4317626953125,2437.829833984375,2100.316650390625
1970,2466.245361328125,2330.584716796875,2475.11865234375,2281.7958984375,1625.6400146484375,2481.71875,2428.806396484375,2090.875732421875,1749.083251953125,2145.366455078125
1971,2452.84130859375,2361.7216796875,2442.707763671875,2226.8408203125,2248.211181640625,2182.68212890625,2322.69677734375,2135.626953125,1858.269775390625,2057.0615234375
1972,2457.920166015625,2258.0537109375,2260.73388671875,1556.052490234375,2094.625244140625,2444.560791015625,2271.5107421875,2135.033935546875,1437.7109375,1916.763916015625
1973,2414.0830078125,2385.8466796875,2398.586181640625,1667.4544677734375,1999.9090576171875,2337.218505859375,2086.763427734375,2141.77587890625,2277.410888671875,2013.9974365234375
1974,2475.149169921875,2235.112548828125,2484.41552734375,2396.283447265625,2413.4814453125,2476.100341796875,2475.928955078125,1864.9180908203125,1790.4461669921875,1999.112060546875
1975,2495.9912109375,1834.27294921875,2475.52197265625,1674.1064453125,2364.189208984375,2412.40625,2348.78076171875,2275.406982421875,1932.3529052734375,2122.954345703125
1976,2436.14697265625,2289.522705078125,2413.75634765625,2299.2158203125,2429.128173828125,2497.4833984375,2497.4111328125,2197.045654296875,2357.208251953125,2319.71484375
1977,2482.3173828125,2474.806396484375,2217.103759765625,2420.070556640625,2290.727294921875,2101.32080078125,2470.527099609375,1922.95703125,2289.572265625,1996.2532958984375
1978,2493.3505859375,2075.168701171875,2487.63671875,2318.09228515625,2210.45166015625,2298.048095703125,2421.234619140625,1983.8621826171875,2109.9267578125,2469.846435546875
1979,2494.8564453125,2382.18212890625,2468.06201171875,2230.597412109375,1991.933837890625,2430.8349609375,2439.221435546875,2203.21435546875,2059.685791015625,2361.9892578125
1980,2494.123291015625,2487.501708984375,2480.664306640625,2464.28955078125,2440.748291015625,2332.084228515625,2327.593505859375,2075.99951171875,2346.3994140625,2146.6708984375
1981,2459.69921875,1892.421630859375,2356.494140625,2374.025146484375,1977.2547607421875,2405.730712890625,2179.174072265625,1557.56103515625,2158.958251953125,1613.902099609375
1982,2417.068603515625,1939.01806640625,2488.861083984375,1295.671142578125,1720.7860107421875,2454.26806640625,1839.7864990234375,1641.959716796875,2117.859375,1930.2667236328125
1983,2493.4736328125,2406.0576171875,2427.010009765625,2081.411376953125,1714.8675537109375,2416.076171875,2401.043701171875,1900.936767578125,2249.431884765625,1891.2474365234375
1984,2491.463134765625,2292.817626953125,2467.411865234375,2477.694580078125,2305.353759765625,2423.896240234375,2324.88330078125,1840.5142822265625,1925.9644775390625,2163.08349609375
1985,2496.8193359375,1832.9697265625,2461.382080078125,2363.467529296875,2045.9508056640625,2459.865234375,2499.353515625,2223.510498046875,2467.2763671875,2062.072021484375
1986,2492.86181640625,1935.13134765625,2395.46826171875,1669.5496826171875,1801.0640869140625,2053.295654296875,2476.39306640625,1964.1900634765625,2370.849853515625,1835.5137939453125
1987,2490.45068359375,2113.4091796875,1792.290771484375,1652.3623046875,1603.3570556640625,2248.181396484375,1915.63818359375,1206.0677490234375,2440.749755859375,1858.966064453125
1988,2294.45068359375,2333.086669921875,2441.338134765625,2316.456298828125,2482.363037109375,2221.683837890625,2281.554443359375,1713.25927734375,2123.881591796875,2288.92626953125
1989,2257.84423828125,2035.1876220703125,2464.369140625,1936.826171875,1832.5548095703125,1889.60546875,2329.747314453125,1906.4598388671875,2405.734619140625,1690.2626953125
1990,2490.558837890625,1957.016845703125,2425.196533203125,2231.240478515625,1996.5526123046875,2236.322265625,2227.4619140625,1838.994140625,2237.534912109375,1712.8206787109375
1991,2455.434814453125,2381.15771484375,2487.309814453125,2311.78759765625,1905.7611083984375,2466.849853515625,2385.798583984375,1968.5162353515625,1625.4775390625,2051.9677734375
1992,2498.61181640625,1400.526123046875,1665.44580078125,1931.7979736328125,1661.8111572265625,2298.54150390625,2333.542724609375,275.48736572265625,1608.739013671875,814.9286499023438
1993,2333.478515625,2083.953125,2277.55078125,632.5403442382812,1925.044677734375,1854.4903564453125,2091.835693359375,1199.9647216796875,1268.906982421875,1381.697021484375
