year,KhBIL01_,KhBIL02_,KhBIL04_,KhBIL06_,KhBIL07_,KhBIL10_,KhBIL11_,KhBIL13_,KhBIL14_,KhBIL16_
1965,5.933546692975384e-8,1.15501332508355e-8,2.9498123261217275e-8,1.760705326814786e-8,1.7550077773696947e-8,1.6468567314214182e-8,2.23651979287183e-8,1.5440492485736066e-8,8.93276205967617e-9,1.7828267267968996e-8
1966,4.375251508864359e-8,1.2404792531317198e-8,1.5888161010361746e-8,1.3603293761504428e-8,1.5267157483443582e-8,1.6512465554156246e-8,1.818980110823116e-8,1.0883573674373076e-8,7.587489151981112e-9,1.3605927899662062e-8
1967,4.1513444998972114e-8,1.0108135210069899e-8,1.9086495937185415e-8,1.2124616241327867e-8,1.700219665282322e-8,1.3565921282760656e-8,1.2664482047059428e-8,1.0931068663131355e-8,8.321780904772162e-9,1.1395240402985132e-8
1968,6.883257676158419e-8,1.2072254743278348e-8,2.7684618388277445e-8,1.6506615060326553e-8,3.0038560622015006e-8,1.571885459814387e-8,2.5376448573817288e-8,1.6313742729002804e-8,9.76697655903726e-9,2.3264753931473858e-8
1969,7.735416422213634e-8,9.163190016802781e-9,1.6677797420217525e-8,1.754163472598193e-8,2.32308045948392e-8,2.234217668246971e-8,1.7444427298696154e-8,1.6791413586776883e-8,8.06862901095672e-9,1.4508514297497256e-8
1970,6.350649916376516e-8,1.018564570420063e-8,2.909069137193808e-8,2.122880777769686e-8,2.9433710392146722e-8,2.8301066268247348e-8,3.3930261427836395e-8,2.95141144590642e-8,8.458085848709028e-9,2.0933457951528424e-8
1971,5.4972646398620155e-8,4.904418917118969e-9,1.7758100741055958e-8,1.3829435636168559e-8,3.5328900226997405e-8,7.260983941114932e-9,1.8259154134395896e-8,1.1112025230638664e-8,1.5358600662002045e-8,1.884037797501206e-8
1972,3.553954434677808e-8,6.9735805284492025e-9,1.8972286378681198e-8,2.756087289309458e-9,1.3604089750451217e-8,4.9798679023652095e-9,2.176247178376818e-8,9.327762365441742e-9,4.161613933828064e-9,8.588443304317012e-9
1973,2.1984748180930248e-8,1.7811036582892318e-8,1.8770964145494176e-8,8.303327830935877e-9,2.3383335901304683e-8,5.989243085598879e-9,2.8996847946117507e-8,1.5628120675719092e-8,1.0082997151678665e-8,1.6050107873357202e-8
1974,5.2568245749271806e-8,9.483369464391848e-9,2.3344815981470737e-8,1.329632065470247e-8,1.7872302754541694e-8,7.621977876682576e-9,2.7770342222305805e-8,1.6284288719652415e-8,9.602765855554815e-9,1.293543064434307e-8
1975,4.2853899905039006e-8,7.713241271272357e-9,2.394394033284019e-8,7.532687875034022e-9,2.4456983982280306e-8,6.939227759675006e-9,1.4709180344070313e-8,1.3626632442409676e-8,1.33583957787855e-8,1.4975449391002605e-8
1976,5.455116030240827e-8,1.171276037975905e-8,2.7607012881403484e-8,1.3547474161859984e-8,3.410046775570398e-8,8.267832792150057e-9,3.0902486395753087e-8,1.9828310344886802e-8,1.3507233653927388e-8,1.9032770907193908e-8
1977,4.791072861450752e-8,7.65546682375008e-9,1.7782340275773383e-8,1.4779020361108869e-8,2.8086404500968482e-8,6.5930652538822754e-9,2.2270981206929165e-8,1.3069630914428508e-8,1.606181079444862e-8,1.6917366540306057e-8
1978,3.798262914951492e-8,5.153620362812173e-9,1.9030774984659047e-8,9.542522983843422e-9,1.8842854324956115e-8,6.418703521296086e-9,2.8853127292210403e-8,7.799555435913612e-9,9.657106445069016e-9,1.456340313334176e-8
1979,6.257306813720131e-8,1.3097549544062541e-8,3.489857005757974e-8,1.858041641848367e-8,2.0559411173266963e-8,8.653993762489201e-9,3.519240099979961e-8,1.4816739264624467e-8,1.563189867923129e-8,1.8852661534522677e-8
1980,7.050786197674712e-8,1.3030796486300717e-8,3.1652315656151845e-8,1.815333311706697e-8,2.526032448186972e-8,7.697262353268858e-9,3.360410982602111e-8,1.4829486054415808e-8,1.5672316324824097e-8,1.7371495101646008e-8
1981,4.541843598694575e-8,8.66033931029611e-9,1.6990994594350186e-8,1.3481751802209654e-8,1.8197863695876365e-8,7.586558697530413e-9,1.7225629165021615e-8,8.743353418347392e-9,1.0596585873458592e-8,1.3003966392406498e-8
1982,3.5767602536218064e-8,5.561524885399809e-9,6.874177647983736e-9,1.4699162003750613e-9,1.0212926223103237e-8,7.317056292845606e-9,7.668633389694006e-9,4.433581618303542e-9,7.005971494018473e-9,7.475056016707396e-9
1983,3.921481659635142e-8,9.68075150469921e-9,2.9663945189711576e-8,3.844123539280258e-9,1.1921983583432258e-8,8.112024088011744e-9,1.8005323651017756e-8,1.0334945528783449e-8,7.625487308919891e-9,1.7835908794339496e-8
1984,4.706490080870891e-8,9.488742444381355e-9,3.2029852893342206e-8,1.0888296268466436e-8,1.917697775652764e-8,8.760168344964073e-9,1.9258690397757657e-8,8.428118658329294e-9,2.8484618396209373e-9,1.4078811778189837e-8
1985,5.778076459513596e-8,1.0105328935860026e-8,3.70576713569522e-8,9.41582701315435e-9,2.106125267526137e-8,9.22596565550159e-9,2.7483344541491308e-8,1.180092145347517e-8,1.1568711828231393e-8,2.2664332061279638e-8
1986,4.2463014288915526e-8,1.0041962500125256e-8,2.4773745725602567e-8,8.128701079540922e-9,1.2196081485269592e-8,8.918790840299761e-9,2.1545001174478238e-8,1.1798895914042725e-8,1.1582756413273764e-8,1.540836184999694e-8
1987,3.824632936558692e-8,8.27596472673066e-9,3.2986929058223502e-9,6.828734081482085e-9,7.744611095739347e-9,6.655319110407111e-9,1.0083153417076923e-8,2.4770876342859964e-9,8.664215451561288e-9,8.28022045223406e-9
1988,4.003407084247256e-8,1.1113936503542575e-8,2.8487699762795484e-8,1.4196276157530455e-8,1.2868731456868427e-8,6.171162774837447e-9,1.5815677524323162e-8,8.402883964730076e-9,1.2468639797677105e-8,1.339073679812772e-8
1989,4.39665702909532e-8,1.31653853827666e-8,2.7449222955391028e-8,1.185491893425059e-8,1.522582427137302e-8,4.600857477769742e-9,1.7864151964015095e-8,9.082643048527384e-9,1.3405370280857087e-8,5.865793343117699e-9
1990,3.475585099991941e-8,8.417705665795625e-9,1.515917959969374e-8,8.603084586895007e-9,1.611192162571032e-8,4.7664821714228605e-9,1.1629375738232981e-8,4.42992376653887e-9,1.2111340966255001e-8,6.676167714232218e-9
1991,4.6891938689627426e-8,1.4145434483240168e-8,3.1316477822495134e-8,1.3148349057733938e-8,1.6086326798279488e-8,6.4182235118923625e-9,2.0335418832209464e-8,1.0465685434578206e-8,8.255364411448916e-9,9.807653682793048e-9
1992,1.6403071964198718e-8,1.8266360765758113e-9,4.389482264033263e-9,4.227656219805486e-9,4.212761025478788e-9,1.8146808988627773e-9,8.27130083712731e-9,1.636182446626155e-11,4.15494872907371e-9,4.783241822284203e-10
1993,2.7326318345650506e-8,7.017228652399826e-9,1.2159240835841435e-8,1.4706582857111073e-10,6.382136266696532e-9,1.0593144489025306e-9,5.469178792471027e-9,1.1510797433319764e-9,1.316238994211745e-9,2.0397648884203858e-9
1994,4.323249886828547e-8,1.1181573468048251e-8,2.1894494620951178e-8,1.5899797072826498e-8,1.483671761206663e-8,1.734878608377938e-9,1.564786294524709e-8,6.4008216664239655e-9,1.0649713128518124e-8,9.43110907996967e-9
1995,5.1083511759016876e-8,1.0926897760041315e-8,2.050966504861639e-8,1.0968186981582916e-8,1.6692721097158338e-8,1.219139293080722e-9,1.9144970292322218e-8,4.652820956173735e-9,1.0665027520075426e-8,8.518593530613297e-9
1996,2.99786257627189e-8,8.613701160408023e-9,6.39332684960438e-9,2.3856712584197226e-9,1.0920730494974697e-8,1.5481550452183342e-9,1.0250775363102002e-8,1.6428682959599626e-9,6.35848425435273e-9,1.668624099769357e-9
1997,6.018688336659379e-8,1.6234332889804893e-8,3.125696356608641e-8,1.6960169696827495e-8,2.1435196191484853e-8,1.65945908233219e-9,2.8599835451235976e-8,1.0485546229249543e-8,1.2597000121893777e-8,1.684037181904986e-8
1998,3.855979409172113e-8,1.1007258009513193e-8,1.483365432767452e-8,1.0607950733370596e-8,1.6683162181943865e-8,1.9729341786839454e-9,2.4921194073599266e-8,7.541543975328648e-9,1.1598031756876184e-8,5.291069357631489e-9
