year,RABIL01_,RABIL02_,RABIL04_,RABIL06_,RABIL07_,RABIL10_,RABIL11_,RABIL13_,RABIL14_,RABIL16_
1968,4.237482210347039,1.5800540225871487,1.528089919150517,1.800023661628984,2.5793637930378708,1.2878709998316538,2.2395629011875684,1.5284021468836215,1.5292163939968475,1.9182517544478657
1969,5.646890550681391,1.6377118736037914,1.2371289036001656,1.9133144310659418,2.451277531468932,1.8270262928572265,1.8757758713928752,1.8814632694736275,1.5202901643872337,1.8888703343406235
1970,3.426332774990641,1.1339038233899572,1.8443527315562989,1.4303116842508388,2.1775827310147946,1.7336941780878306,2.1674896038497025,2.2518010840957885,1.385346647308296,1.6340024099118722
1971,3.3690434295247087,1.195136892947545,1.0333338973726285,1.2114198941750516,2.62940452352494,1.0167625628822634,1.6317961283217954,0.9774971312054532,2.0037917752739958,1.8376242813851036
1972,2.189039909898085,0.7620537674771128,1.074029163416327,0.5963550621071221,1.1504218673072728,0.7255444884415994,2.0750092622275105,0.81984721367661,1.115180228052452,0.8611432389973714
1973,1.666848608117931,1.5363701909342922,1.2233812074454562,1.123031113175358,1.8878115408179923,0.9947730420655319,2.5144121268584456,1.4298977351900675,1.3927210988239977,1.5051535061162298
1974,2.947565468451714,1.1397445789891805,1.6079701843941763,1.3087217097920671,1.6870766257510326,1.0192519150014192,2.3392044670764562,1.5025881023659906,1.3324499235224607,1.1708334273363192
1975,2.073620171535339,0.6576282767069443,1.385171826302809,0.8504166645817293,1.7148878315509108,0.9394084701486634,1.7176458139961426,1.0872792096229915,1.0504292295941156,1.0369240842317566
1976,2.6842493002432093,0.8449735262220202,1.5470510178899843,1.1998111611674602,2.353679729917232,1.2660091300234484,2.306502548437578,1.6829493853534103,1.0336580480134927,1.3292004524710848
1977,2.2557553349349178,0.5622102834244913,0.9355953344511647,1.0962040960788073,2.040745017327879,1.3140383010966303,1.8311710041626128,1.048951731283367,1.145229143695886,1.2550308969031931
1978,1.5955244239359558,0.3634067537665686,0.9098698659704212,0.687216408361067,1.5583130636543956,1.1012693358405556,2.0908442690392945,0.6951399183094225,0.8442041569826273,1.188042554749316
1979,2.671931184699403,0.7676316707087665,1.5957309204503076,1.1881173743188924,2.04505480885787,1.4706986736217118,2.503749677023009,1.2535522786068896,1.0923799317210978,1.447883913902885
1980,2.9726507355935183,1.047206945481122,1.7219671961058935,1.3448609998674925,2.1109230783852695,1.444456567792514,4.308728867336029,1.258508824212683,1.2120452655077258,1.2206665685053508
1981,2.21068614527924,0.620651231348532,1.1586750523840834,1.0645990572199366,1.728839334967816,1.4241260822409032,2.463801067262395,1.0553766872363468,0.9503752167336046,1.046934717022765
1982,1.592159540137203,0.36272560077583194,0.4192389960351903,0.3874809176184755,0.9432120056621756,1.1499864002652203,0.8338576128948745,0.4340280173396849,0.5796448939043302,0.5391909629765053
1983,2.019505535318345,0.6613545995608234,1.8623062782342998,0.7735332096869882,1.282870947374235,1.342845300226628,2.348936025222315,1.1113212580414569,0.6848333782995013,1.2833487266018153
1984,2.0238084686236704,0.6558746322087501,1.6894500947762907,0.9143551121803739,1.5308785128377593,1.336522937198822,1.973326616214095,0.7671858620638545,0.3715508487326531,1.0607897254287906
1985,2.636055412034537,1.1761220264151575,2.3186688074904964,1.7472376985402889,2.0785910856986334,1.95070520828655,3.936247849465417,1.1063073356770587,1.6959673871065064,2.5698982290015806
1986,2.1240329803246425,0.8293938700794996,1.3663169501843413,0.9512321506679342,1.14124680924526,2.139216118240185,2.7481704408041594,0.9241952251246204,1.2704777141352395,1.564165433263497
1987,1.6689580594601523,0.5143717549660209,0.23714362639377384,0.5758865480534752,0.6801997436670604,1.6829995717874766,1.344992953879867,0.3133294958542052,0.8951382249120172,0.7804530823381839
1988,2.0081728016729414,0.8169261679786501,1.4826339906114896,1.1328385623754116,1.2057993557528732,1.6029835857959824,1.8152389462903358,0.6983246233077693,1.2825411642569264,1.20087929316243
1989,2.083241037552156,0.8183233061289457,1.560919346124038,0.9283987664244222,1.4227412848193381,1.1313327403250497,1.8807909347823681,0.7787314677897115,1.2248995578184605,0.453314847948576
1990,1.4569610546900122,0.446605588025335,0.7770534762568104,0.5888576052700216,1.138608095781123,1.2627506609165238,0.9938929621011852,0.38679058675270994,1.0109637882808897,0.48678525172783793
1991,2.05743930637405,0.8582712518131501,1.6071437160424438,0.9453565717646057,1.3576584104145155,1.3465718779864773,1.6168220433367537,0.8241390659987218,1.2432988047121398,0.7754452494268094
1992,0.8392764833028536,0.19089764652905217,0.27772896636643907,0.3556528242861532,0.4084615747522804,0.2996397446646455,0.7196168172130655,0.07689830383186802,0.43295186453843826,0.1161664315414015
1993,1.2788309339630786,0.4090946342089268,0.6264371780220017,0.1651660973779343,0.571588753490559,0.617377920354528,0.7219676929806269,0.2032677817135351,0.2777141917364503,0.19720542658333784
1994,1.8695759484522512,0.5915055022297508,0.9659012087020074,0.9801664895220483,0.9614706799134041,0.7524092347802593,1.266165171955052,0.5814598328197746,0.9017474699912924,0.5456547742739843
1995,2.2278232997595353,0.5490581974315774,0.9397409232967817,0.764955548048107,1.0681505315858715,1.0401456050309577,1.7726282631219306,0.45411956723722824,0.9500909768402295,0.5242903267636763
1996,1.4024938433646241,0.42293877274006775,0.32723347740677866,0.2668751302823864,0.7998637208568908,0.7124110825072023,1.2627300920800621,0.23811394049900514,0.5594077613641559,0.18141338740437618
1997,2.580275403450287,0.9063257395969373,1.337562805184163,1.2395315049990927,1.6067714753219775,1.574317172315176,2.997833891921559,1.2245550120830444,1.242074526662222,1.052026939502582
1998,1.6787604880751559,0.5627934907473531,0.6508377473582101,0.725160212492284,1.2117672781571258,1.6045315101965798,2.4287212632817017,1.3525279855375913,0.938750476791455,0.36594381993873526
