year,RAOIARBIL01_,RAOIARBIL02_,RAOIARBIL04_,RAOIARBIL06_,RAOIARBIL07_,RAOIARBIL10_,RAOIARBIL11_,RAOIARBIL13_,RAOIARBIL14_,RAOIARBIL16_
1938,0.7331827878952026,0.8955212235450745,0.9589806199073792,0.4787180721759796,0.9740041494369507,0.8508545160293579,0.9208561778068542,0.97270667552948,0.9285077452659607,0.9639610648155212
1939,0.9902493357658386,0.9057217836380005,0.9696266651153564,0.5947293639183044,0.9625627994537354,0.9705843925476074,0.8158499598503113,0.9758272767066956,0.9132079482078552,0.9513061046600342
1940,0.9906303286552429,0.8910989761352539,0.9360104203224182,0.6245934367179871,0.9900327920913696,0.9884541630744934,0.8701305389404297,0.9840431213378906,0.8709467649459839,0.9684229493141174
1941,0.9905001521110535,0.7117631435394287,0.8634965419769287,0.5966042280197144,0.9500191807746887,0.9596566557884216,0.8217147588729858,0.9866043329238892,0.8703033924102783,0.97322678565979
1942,0.9909500479698181,0.9262604713439941,0.9629065990447998,0.7169188261032104,0.9631277322769165,0.9902443885803223,0.8872551321983337,0.9748507142066956,0.8073270320892334,0.8997037410736084
1943,0.9906395077705383,0.9681450724601746,0.9378633499145508,0.6933398246765137,0.9712511897087097,0.990742564201355,0.9469810128211975,0.980315625667572,0.6583163738250732,0.8130285739898682
1944,0.9323077201843262,0.9077873826026917,0.9453413486480713,0.44383546710014343,0.9412888884544373,0.9901434183120728,0.9609023928642273,0.9851914644241333,0.43958500027656555,0.9808245301246643
1945,0.9892155528068542,0.5766317844390869,0.950542151927948,0.8820276260375977,0.8799358606338501,0.9904625415802002,0.9283632636070251,0.9890055060386658,0.5726901888847351,0.9906255602836609
1946,0.9909007549285889,0.8067077994346619,0.990485429763794,0.9860628247261047,0.9600210189819336,0.9904516339302063,0.9199724197387695,0.9844120144844055,0.7209006547927856,0.9905930757522583
1947,0.9903954863548279,0.9382809400558472,0.99052494764328,0.9600589871406555,0.9904153347015381,0.9904825687408447,0.9470942616462708,0.9891369938850403,0.7628010511398315,0.9905429482460022
1948,0.990490734577179,0.990621030330658,0.990351140499115,0.9759300947189331,0.9905555844306946,0.9906447529792786,0.8966988325119019,0.99061119556427,0.8143815994262695,0.9902880787849426
1949,0.9905360341072083,0.9906477928161621,0.9900234937667847,0.8759627342224121,0.990222156047821,0.9907271862030029,0.9631427526473999,0.9906522631645203,0.9847921133041382,0.9907217025756836
1950,0.9900668263435364,0.9904196858406067,0.9915776252746582,0.9755011796951294,0.9906361103057861,0.9905880093574524,0.9897600412368774,0.990700364112854,0.9901721477508545,0.9896751046180725
