year,CWTleBIL01_,CWTleBIL02_,CWTleBIL04_,CWTleBIL06_,CWTleBIL07_,CWTleBIL10_,CWTleBIL11_,CWTleBIL13_,CWTleBIL14_,CWTleBIL16_
1891,3.3590006828308105,3.7220962047576904,3.503420829772949,4.553653717041016,4.502776622772217,3.8017396926879883,3.7520596981048584,3.460092544555664,3.7826268672943115,3.9161410331726074
1892,3.4529497623443604,3.5208635330200195,3.3042726516723633,4.084512710571289,3.9115781784057617,3.4546868801116943,3.916015863418579,3.3820817470550537,3.195448875427246,3.4458224773406982
1893,3.3404948711395264,3.4277536869049072,3.4240078926086426,3.7840044498443604,3.67838191986084,4.003663539886475,3.8949198722839355,4.089461803436279,3.561307668685913,3.469899892807007
1894,3.556572914123535,4.0276713371276855,3.780205488204956,4.6812005043029785,4.1813530921936035,4.0945305824279785,4.781601905822754,4.218242645263672,5.356709003448486,3.573923349380493
1895,4.26924467086792,4.2243242263793945,3.825479507446289,4.870157241821289,4.345016002655029,3.5340912342071533,5.272941589355469,4.270312786102295,3.6401095390319824,4.068300724029541
1896,3.448730707168579,2.9731898307800293,3.2444329261779785,4.022975444793701,3.281069755554199,3.596128463745117,3.9669761657714844,3.5806994438171387,3.710991859436035,3.528101921081543
1897,3.784971237182617,3.9757888317108154,3.626051187515259,4.702380657196045,4.36241340637207,4.423669338226318,4.426999092102051,4.263567924499512,4.1678466796875,3.756443738937378
1898,3.577385663986206,3.8692030906677246,3.5468239784240723,4.02827262878418,4.474483013153076,4.464465141296387,4.505083084106445,4.008941650390625,3.3337128162384033,3.6441898345947266
1899,3.6353766918182373,3.9508273601531982,3.7837741374969482,4.685135364532471,4.113463878631592,4.400537967681885,4.8373894691467285,4.111917018890381,3.945326566696167,3.629103183746338
1900,3.8311238288879395,3.6707136631011963,3.577310800552368,4.326762676239014,4.518290996551514,4.800843715667725,4.637962341308594,4.39439058303833,3.97843599319458,3.7435832023620605
1901,3.584514617919922,3.5898566246032715,3.779426336288452,4.390309810638428,3.9897027015686035,4.5374298095703125,5.110156536102295,3.965555429458618,4.083632469177246,3.2928178310394287
1902,4.025052547454834,3.557997941970825,3.938666820526123,4.481959819793701,4.572405815124512,5.247960567474365,4.740673542022705,4.745532512664795,4.387631416320801,3.2775003910064697
1903,4.138471603393555,3.5480918884277344,4.6310648918151855,4.425734519958496,4.235408306121826,5.118374824523926,4.292269229888916,4.134873867034912,4.629307270050049,3.6189448833465576
1904,3.7550837993621826,3.9960670471191406,3.950528144836426,4.216933727264404,4.2705607414245605,4.249203205108643,3.692418098449707,3.6450741291046143,4.015821933746338,3.420614004135132
1905,3.114093780517578,2.893176317214966,3.2354254722595215,3.573711395263672,2.9726650714874268,4.341703414916992,3.313957452774048,3.0038015842437744,3.2122673988342285,2.7305166721343994
1906,3.242163896560669,3.1869163513183594,3.4787349700927734,3.8951945304870605,3.291407346725464,3.707139253616333,3.1117920875549316,3.3549046516418457,3.4003584384918213,2.957970380783081
1907,3.835035562515259,3.5510103702545166,4.700515270233154,4.106413841247559,3.8054840564727783,4.860045909881592,3.6778624057769775,3.841764211654663,3.764505386352539,3.5004584789276123
1908,3.883342981338501,3.4920814037323,4.125063419342041,4.228872299194336,4.414162635803223,4.9456915855407715,4.435608863830566,3.837900161743164,4.023972034454346,3.5999200344085693
