year,DhBIL01_,DhBIL02_,DhBIL04_,DhBIL06_,DhBIL07_,DhBIL10_,DhBIL11_,DhBIL13_,DhBIL14_,DhBIL16_
1910,36.270469665527344,34.58404541015625,35.78435134887695,30.342073440551758,33.699195861816406,33.11583709716797,32.365325927734375,35.45591354370117,36.13985061645508,32.670040130615234
1911,37.23497009277344,33.26736831665039,35.004722595214844,31.535781860351562,32.144195556640625,34.66423034667969,32.251399993896484,34.51723098754883,35.711570739746094,31.51049041748047
1912,34.859031677246094,33.94023132324219,36.44552993774414,29.692306518554688,32.89031982421875,33.22086715698242,31.790712356567383,33.68626403808594,32.95018768310547,31.508459091186523
1913,34.21487045288086,34.77006530761719,31.885610580444336,29.875869750976562,29.546247482299805,33.26841735839844,31.512943267822266,33.742218017578125,34.41619873046875,29.80222511291504
1914,39.02489471435547,35.93096923828125,37.78244400024414,33.32461929321289,31.591537475585938,34.87824249267578,33.453243255615234,36.22169494628906,34.57752227783203,31.314592361450195
1915,38.212764739990234,33.97637939453125,36.44924545288086,32.21586227416992,31.611629486083984,36.870361328125,33.7688102722168,36.13260269165039,34.34120559692383,31.092594146728516
1916,37.675716400146484,35.9870491027832,33.835121154785156,32.467491149902344,31.18341636657715,35.445350646972656,33.74047088623047,36.227970123291016,33.46626281738281,30.382524490356445
1917,37.93464279174805,35.2296142578125,34.95210266113281,33.40101623535156,32.31733322143555,38.82516860961914,34.991661071777344,36.89617156982422,33.07735061645508,30.10926055908203
1918,37.3890380859375,33.95393371582031,35.71538543701172,33.185691833496094,31.983219146728516,36.35700988769531,32.54988098144531,36.55392074584961,35.460384368896484,30.161338806152344
1919,36.70484161376953,32.31364059448242,34.302818298339844,32.133567810058594,30.184354782104492,33.25736618041992,32.719276428222656,33.75010681152344,31.428897857666016,29.349380493164062
1920,37.11837387084961,31.693065643310547,34.5700569152832,32.54588317871094,28.421422958374023,31.522512435913086,32.64115524291992,35.47878646850586,32.09357833862305,30.814470291137695
1921,35.34033203125,30.30687141418457,29.62175178527832,23.702953338623047,29.336406707763672,31.53129005432129,30.033544540405273,33.70464324951172,29.236154556274414,26.334308624267578
1922,37.1505126953125,37.273956298828125,37.27315139770508,32.2281608581543,30.881078720092773,34.36270523071289,34.33613967895508,37.511226654052734,36.469993591308594,30.884737014770508
1923,38.491371154785156,33.43113327026367,35.19877243041992,32.189178466796875,30.42891502380371,34.02717208862305,32.85979461669922,37.82188034057617,35.740447998046875,30.463823318481445
1924,35.74949264526367,34.02202224731445,36.149330139160156,31.86701202392578,31.552682876586914,34.50136184692383,32.682865142822266,34.96951675415039,33.41457748413086,31.28458023071289
1925,37.6376838684082,33.01606369018555,36.5280876159668,32.71062469482422,33.93794631958008,36.16483688354492,32.97306442260742,36.22563934326172,35.06231689453125,30.031362533569336
1926,35.3355712890625,33.843589782714844,35.41920852661133,33.12120819091797,31.954071044921875,36.04548645019531,33.1320686340332,35.74991989135742,34.056541442871094,30.447126388549805
1927,36.211360931396484,35.33672332763672,38.61362075805664,33.8388671875,32.71174240112305,36.80256271362305,34.45535659790039,37.16994094848633,35.37934494018555,32.50992965698242
1928,37.95832824707031,35.21452713012695,37.65634536743164,34.56052780151367,33.406028747558594,38.15818786621094,34.17724609375,38.79397201538086,34.729026794433594,31.53333854675293
1929,37.866127014160156,35.26704025268555,36.122406005859375,34.21858596801758,32.892635345458984,34.26622772216797,36.137699127197266,39.24967575073242,36.40852355957031,32.710697174072266
1930,37.19842529296875,35.35275650024414,36.1733512878418,35.264007568359375,32.52227020263672,34.8465461730957,35.13557052612305,38.672210693359375,32.08300018310547,31.017629623413086
1931,38.35350036621094,35.75139617919922,33.81179428100586,35.7745475769043,32.29708480834961,35.74953079223633,36.08070755004883,36.97636795043945,35.095489501953125,31.898025512695312
1932,38.40322494506836,35.62450408935547,34.42461013793945,33.331607818603516,30.236825942993164,36.93110656738281,34.284385681152344,36.39492416381836,31.48995590209961,32.02935791015625
1933,35.3929557800293,35.07886505126953,33.487388610839844,31.8161678314209,30.813325881958008,36.584930419921875,34.2442626953125,34.731590270996094,29.870479583740234,29.411392211914062
1934,36.20050048828125,36.62876510620117,33.288692474365234,30.3209285736084,29.81427764892578,36.435882568359375,35.27818298339844,34.884971618652344,29.49295425415039,30.085697174072266
