year,MRadDistBIL01_,MRadDistBIL02_,MRadDistBIL04_,MRadDistBIL06_,MRadDistBIL07_,MRadDistBIL10_,MRadDistBIL11_,MRadDistBIL13_,MRadDistBIL14_,MRadDistBIL16_
1961,6168.2890625,5703.625,3793,7107.5,7147.28125,8050.984375,9757.359375,6116.359375,8901.359375,10308.3671875
1962,6721.6328125,6001.0078125,3899.0078125,7484.3046875,7554.5546875,8426.2421875,10324.984375,6340.7578125,692.296875,10576.859375
1963,7414.6328125,6234.25,4118.609375,7992.46875,7990.8671875,8762.9609375,10898.453125,6653.078125,1023.15625,10889.0390625
1964,8434.1328125,6565.2734375,4846.515625,8712.0859375,491.7265625,9381.875,2062.703125,7208.6015625,1498.28125,11509.03125
1965,9244.5703125,6776.8515625,5357.8671875,9085.7265625,880.765625,9717.9375,2619.9375,7579.09375,1797.1875,11887.4609375
1966,9966.578125,7014.421875,5625.2734375,9452.5390625,1257.953125,10117.0234375,3135.5703125,7880.6484375,2019.765625,12243.765625
1967,10670.7265625,7250.765625,5939.6796875,9828.6640625,1682.890625,10452.1484375,3536.2109375,8183.921875,2332.265625,12540.1015625
1968,11867.4921875,7696.2890625,6371.25,10340.7421875,2412.578125,10816.25,4169.6953125,8616.2265625,2765.2734375,13081.5390625
1969,2218.296875,8162.6484375,6721.203125,10881.921875,3106.1953125,11334.8671875,4699.8671875,9146.328125,3195.1875,894.5078125
1970,3186.8203125,8480.6328125,7242.1953125,564.09375,3721.3515625,11823.8515625,5313.40625,9781.7890625,3587.7421875,1356.53125
1971,4138.796875,8819.140625,7534.6640625,906.4453125,4465.140625,1514.6484375,5775.078125,10058.8125,4153.1875,1875.84375
1972,4757.8125,9035.0234375,7837.1640625,1075.1953125,4790.15625,1719.8203125,6361.3515625,10291.09375,4469.2109375,2119.71875
1973,5229.5390625,873.125,8184.09375,1392.796875,5323.3203125,2001.2890625,7070.953125,10695.71875,4863.7265625,2544.9375
1974,6063.15625,1195.3359375,8638.6328125,1762.9375,5800.390625,2289.4921875,7733.078125,11120.328125,5239.46875,2876.0859375
1975,6649.7890625,1381.125,9029.7578125,2003.5,6286.1640625,2555.1484375,8218.7265625,608.734375,5537.6328125,3169.4609375
1976,7408.5390625,1619.953125,9468.421875,2343.0078125,6950.8125,2913.6171875,8870.65625,1084.4296875,5829.75,3545.1328125
1977,8046.65625,1779.0078125,9733.125,2653.28125,7527.2734375,3285.5703125,9388.375,1380.8984375,6154.5390625,3900.1171875
1978,8498.796875,1881.921875,9990.21875,2848.2265625,7971.0390625,3596.8671875,9980.453125,1577.5234375,6392.9609375,4235.484375
1979,9253.6484375,2098.859375,10442.484375,3184.6171875,1972.703125,4013.5546875,10688.0625,1931.78125,6701.3515625,4644.5390625
1980,10094.7890625,2395.203125,10927.796875,3564.5390625,2569.15625,4421.7890625,1223.90625,2287.6640625,7044.1640625,4989.90625
1981,10720.7578125,2570.4453125,11254.1015625,3865.15625,3057.5234375,4824.7890625,1921.078125,2586.1015625,7313.5,5285.703125
1982,11170.984375,2672.953125,11372.5703125,3975.3203125,3324.265625,5149.1484375,2156.59375,2708.5546875,7478.359375,5438.3125
1983,11739.953125,2859.8203125,11900.203125,4194.125,3686.0234375,5529.0390625,2821.109375,3022.546875,440.3984375,5800.7890625
