year,RCTA*BIL01_,RCTA*BIL02_,RCTA*BIL04_,RCTA*BIL06_,RCTA*BIL07_,RCTA*BIL10_,RCTA*BIL11_,RCTA*BIL13_,RCTA*BIL14_,RCTA*BIL16_
1915,52.4184684753418,42.68878936767578,43.65602111816406,46.27411651611328,41.314544677734375,36.46369171142578,47.19489288330078,50.41340255737305,47.55604934692383,25.592092514038086
1916,52.51325225830078,39.3227653503418,44.36586380004883,44.52610778808594,36.17020034790039,35.94054412841797,43.76059341430664,49.13108444213867,46.35786819458008,22.243343353271484
1917,56.13024139404297,32.91647720336914,41.38689041137695,46.85115432739258,38.58584213256836,36.85813522338867,39.693965911865234,53.42073059082031,32.91339111328125,25.137571334838867
1918,50.51168441772461,37.19572830200195,42.49445724487305,45.95927810668945,35.28474426269531,30.708789825439453,39.56180953979492,51.55351257324219,43.29212188720703,23.003278732299805
1919,50.90453338623047,34.461509704589844,36.28135681152344,40.30785369873047,31.858598709106445,34.905548095703125,43.5954704284668,49.30615997314453,34.77274703979492,33.268131256103516
1920,57.181060791015625,42.79362106323242,46.93307113647461,43.07420349121094,42.77610778808594,37.82280731201172,50.28975296020508,57.23793411254883,51.69744873046875,33.29429244995117
1921,48.091346740722656,42.50176239013672,38.66304397583008,19.218364715576172,31.434438705444336,32.05680465698242,39.494384765625,43.27467727661133,34.215126037597656,40.64572525024414
1922,58.08753204345703,45.73643112182617,40.95695114135742,46.133243560791016,38.00412368774414,36.725223541259766,46.90077209472656,56.73957061767578,52.69559860229492,27.994182586669922
1923,46.31342697143555,38.965248107910156,40.433414459228516,45.29629898071289,31.901180267333984,37.19449996948242,42.05266189575195,47.92431640625,45.894386291503906,27.15970802307129
1924,51.007240295410156,39.81626892089844,40.04677963256836,46.60124206542969,41.32539749145508,40.439571380615234,45.1196174621582,56.72597122192383,51.03115463256836,30.32769012451172
1925,51.77152633666992,37.458370208740234,43.91441345214844,47.56217575073242,37.044776916503906,37.8403205871582,44.57625198364258,48.85636520385742,47.369136810302734,38.97597885131836
1926,52.325531005859375,37.91218185424805,46.059539794921875,46.035316467285156,35.15076446533203,35.957523345947266,40.874141693115234,47.18842315673828,46.99674987792969,33.48869705200195
1927,52.59883499145508,33.08726501464844,41.40033721923828,44.57368469238281,35.24948501586914,38.109710693359375,42.992313385009766,50.98369598388672,44.783084869384766,35.94105529785156
1928,49.43816375732422,34.070491790771484,40.444766998291016,45.76578903198242,37.90839767456055,39.58002471923828,39.769561767578125,50.789764404296875,43.618560791015625,35.18501663208008
1929,49.756980895996094,31.31014633178711,26.964094161987305,45.014854431152344,33.89539337158203,41.837547302246094,38.42761993408203,48.719783782958984,39.46442413330078,35.070621490478516
1930,53.369510650634766,34.487060546875,21.745454788208008,46.52097702026367,41.804439544677734,38.90573501586914,41.94330978393555,53.42204666137695,40.98666000366211,40.747764587402344
1931,48.595645904541016,33.014320373535156,22.90087890625,44.676483154296875,35.988948822021484,35.72398376464844,39.382057189941406,47.070465087890625,42.78460693359375,36.79875183105469
1932,49.978240966796875,33.26520538330078,26.8934383392334,44.624996185302734,38.57734298706055,36.530967712402344,44.05251693725586,49.57760238647461,46.88850402832031,38.92754364013672
1933,38.28343200683594,30.854915618896484,27.904436111450195,38.18159484863281,28.83623695373535,32.985233306884766,37.54815673828125,41.27384567260742,31.91130828857422,37.32146453857422
1934,38.48273849487305,31.582963943481445,25.88393783569336,36.21345901489258,28.819446563720703,27.27082061767578,37.21908950805664,40.0390510559082,27.271869659423828,38.071693420410156
1935,45.907203674316406,36.542152404785156,29.407365798950195,44.96570587158203,39.236671447753906,23.267417907714844,41.03801727294922,48.86573791503906,42.88588333129883,42.03048324584961
1936,45.37306213378906,41.019107818603516,29.881004333496094,38.215431213378906,38.79642105102539,25.421998977661133,41.34215545654297,46.927608489990234,43.85844421386719,42.945091247558594
1937,39.316349029541016,37.25643539428711,29.92426109313965,38.641639709472656,35.26659393310547,29.134239196777344,39.4332160949707,42.902557373046875,44.53458023071289,40.24301528930664
1938,42.85218048095703,38.21987533569336,29.366653442382812,29.868854522705078,31.402801513671875,28.52338218688965,34.51331329345703,44.23357009887695,34.79250717163086,37.75304412841797
1939,43.71475601196289,31.45938491821289,34.109596252441406,33.36092758178711,35.394466400146484,35.03058624267578,36.73685836791992,36.21040344238281,30.185569763183594,39.500301361083984
1940,45.83436584472656,35.809391021728516,33.45507049560547,32.063873291015625,35.14426040649414,37.668365478515625,36.825313568115234,41.31085205078125,28.9376277923584,39.95692443847656
1941,38.068336486816406,40.02094650268555,24.54725456237793,31.837116241455078,36.60200119018555,31.872913360595703,39.109031677246094,43.93980407714844,44.93840789794922,43.851322174072266
1942,48.528350830078125,38.56405258178711,35.55451202392578,34.85898208618164,43.337989807128906,33.107120513916016,40.30504608154297,50.16581344604492,39.97486877441406,42.82962417602539
1943,48.98347091674805,36.9209098815918,35.571659088134766,38.451595306396484,44.162620544433594,40.16600799560547,39.31072998046875,47.35382843017578,48.05400848388672,47.44106674194336
1944,43.30241394042969,32.66130828857422,34.9728889465332,27.54157066345215,41.25602722167969,38.063072204589844,37.188690185546875,46.39651107788086,36.72559356689453,49.777793884277344
1945,44.5899543762207,23.648656845092773,35.372276306152344,0.0049659512005746365,40.869468688964844,37.630340576171875,36.01063537597656,46.071651458740234,37.850284576416016,50.982566833496094
1946,50.571983337402344,48.81297302246094,42.96699142456055,39.10896301269531,39.37712860107422,34.30230712890625,40.93008804321289,46.61116409301758,41.17588806152344,49.12006378173828
1947,51.92745590209961,48.25876998901367,38.81345748901367,38.06708526611328,47.696537017822266,41.60744094848633,43.14746856689453,50.86884307861328,46.46341323852539,51.760536193847656
1948,49.5482292175293,47.00266647338867,39.04558563232422,40.82871627807617,45.756187438964844,44.48302459716797,43.59892654418945,50.373966217041016,38.83052444458008,51.89385223388672
1949,50.382347106933594,44.60720443725586,43.49067687988281,38.38176727294922,45.4394645690918,45.36806106567383,43.256595611572266,49.75259017944336,34.140380859375,48.3250732421875
1950,51.63220977783203,42.084442138671875,46.62820053100586,44.621395111083984,42.426334381103516,36.43157196044922,46.62300491333008,46.94721984863281,35.549068450927734,52.00041198730469
1951,45.14588928222656,39.054664611816406,36.61312484741211,29.39908790588379,37.57658386230469,33.87620544433594,37.25651168823242,26.2571964263916,28.652755737304688,38.169342041015625
1952,50.932865142822266,47.50107955932617,31.756845474243164,34.04985809326172,39.25584411621094,39.2199821472168,27.23394775390625,25.067733764648438,38.98735809326172,46.45450973510742
1953,52.056175231933594,47.541568756103516,37.602012634277344,38.115577697753906,41.68074035644531,39.14707565307617,35.544254302978516,21.00835609436035,39.62990951538086,51.087799072265625
1954,53.64530944824219,43.04612350463867,47.50077819824219,35.15248489379883,44.51982498168945,40.76401138305664,38.900901794433594,22.575937271118164,39.34147644042969,44.42594909667969
1955,48.8576545715332,45.60736083984375,44.08743667602539,30.918750762939453,44.3846321105957,42.564456939697266,38.22199249267578,24.868749618530273,40.616188049316406,40.90708541870117
1956,48.04610061645508,44.9028205871582,44.248939514160156,31.690017700195312,38.88250732421875,40.55052185058594,38.686302185058594,23.128019332885742,38.30147933959961,47.05805587768555
1957,56.635581970214844,44.25459671020508,54.97723388671875,35.03892135620117,42.29840850830078,41.430015563964844,42.7850456237793,29.681594848632812,38.367427825927734,44.74924850463867
1958,54.8314323425293,43.46648406982422,51.433162689208984,30.694368362426758,41.41526412963867,42.57357406616211,36.258094787597656,27.454059600830078,40.174503326416016,44.51774215698242
1959,49.212196350097656,42.97763442993164,52.48005676269531,32.519325256347656,45.07011032104492,37.00173568725586,35.83573532104492,29.883346557617188,24.71084976196289,45.512149810791016
1960,45.595340728759766,42.84402084350586,46.6968879699707,36.53903579711914,42.20602035522461,39.40056228637695,32.1778678894043,31.26427459716797,39.71604919433594,44.586875915527344
1961,48.883827209472656,43.04722595214844,52.33695983886719,37.35104751586914,48.23352813720703,36.87491989135742,34.86248016357422,34.87223434448242,31.20370864868164,46.857295989990234
1962,48.475196838378906,41.72227096557617,50.5688362121582,34.76537322998047,38.82854080200195,38.54779052734375,40.60000228881836,29.502304077148438,26.011323928833008,44.003211975097656
1963,48.58393096923828,41.60325241088867,43.086185455322266,38.57778549194336,38.75431442260742,38.0169792175293,38.91008377075195,30.86264991760254,33.99460220336914,37.888099670410156
1964,51.74825668334961,40.43351364135742,46.601375579833984,32.18996047973633,39.62002944946289,39.697723388671875,41.659854888916016,35.85517501831055,38.5003776550293,38.11463165283203
1965,53.3884162902832,41.800601959228516,50.37037658691406,42.41672897338867,48.191280364990234,40.103633880615234,40.513607025146484,40.16816711425781,34.771427154541016,46.112060546875
1966,49.77960205078125,38.787261962890625,50.14076614379883,36.733734130859375,44.97609329223633,36.55265426635742,35.620174407958984,37.0149040222168,35.198795318603516,40.600406646728516
1967,46.287384033203125,37.139060974121094,49.347713470458984,35.216888427734375,42.891448974609375,38.35515213012695,34.38785171508789,37.3433952331543,27.52914810180664,41.445465087890625
1968,43.681461334228516,30.848167419433594,49.658565521240234,32.3051872253418,43.25701141357422,36.86043930053711,37.62354278564453,37.6004638671875,31.814294815063477,40.553462982177734
1969,39.23891067504883,26.98596954345703,40.11384963989258,39.65875244140625,37.61029815673828,34.02645492553711,30.859838485717773,32.32912063598633,30.193525314331055,27.68058967590332
1970,48.49243927001953,40.297401428222656,48.28558349609375,45.44091033935547,50.82179260253906,40.56163024902344,43.001136779785156,40.395755767822266,30.072778701782227,41.058528900146484
1971,46.16913604736328,22.016071319580078,46.37395477294922,37.43486785888672,48.779937744140625,22.796897888183594,36.13386917114258,37.06031036376953,39.41001892089844,33.857444763183594
1972,45.448211669921875,35.24728012084961,46.26464080810547,25.021610260009766,44.207515716552734,21.36269760131836,35.914608001708984,35.57477569580078,25.995019912719727,37.51117706298828
1973,48.876922607421875,38.638553619384766,43.562931060791016,30.861557006835938,45.62833786010742,20.402652740478516,37.19453048706055,35.79010772705078,31.278377532958984,41.5126838684082
1974,46.69847106933594,38.53841781616211,43.24658966064453,32.9578971862793,38.114627838134766,23.100255966186523,37.434303283691406,34.053688049316406,39.18091583251953,38.888816833496094
1975,53.201595306396484,37.251285552978516,48.88737869262695,32.860015869140625,47.31157684326172,22.184133529663086,33.776885986328125,39.37417984008789,39.59273910522461,45.518226623535156
1976,51.7515869140625,40.47603225708008,48.78221130371094,37.09834671020508,48.604454040527344,23.39284324645996,40.59415817260742,39.69688415527344,40.1087646484375,49.3276481628418
1977,51.41606140136719,38.66682434082031,50.449459075927734,39.294151306152344,47.43387222290039,21.617387771606445,37.70976257324219,41.119598388671875,39.743309020996094,46.80070114135742
1978,52.960205078125,39.76971435546875,47.59992599487305,37.520233154296875,38.6694450378418,20.361265182495117,38.27767562866211,38.409446716308594,33.571842193603516,40.08942413330078
1979,51.48986053466797,42.86474609375,49.97244644165039,40.797088623046875,37.88314437866211,20.200340270996094,41.65672302246094,38.799076080322266,39.74581527709961,43.38229751586914
1980,52.19300079345703,33.941837310791016,46.145198822021484,37.49325942993164,42.48767852783203,19.440414428710938,24.40355110168457,39.3833122253418,45.55295944213867,47.811771392822266
1981,50.5993766784668,42.34214401245117,44.992313385009766,34.83243179321289,40.31721115112305,20.44203758239746,26.57662010192871,33.139503479003906,46.64163589477539,45.920616149902344
1982,53.04667282104492,49.86762619018555,55.156089782714844,28.84977149963379,43.32014846801758,22.493257522583008,33.13897705078125,40.936317443847656,38.188392639160156,51.52228927612305
1983,49.13033676147461,42.940757751464844,47.74399185180664,25.09303855895996,36.97196960449219,21.662500381469727,26.895160675048828,34.48455810546875,37.394893646240234,46.75812530517578
1984,52.17325973510742,47.36848831176758,50.92361068725586,34.7607421875,44.531471252441406,21.343969345092773,27.332700729370117,38.916324615478516,33.21852493286133,43.161842346191406
1985,48.480979919433594,30.768980026245117,46.457035064697266,24.89620018005371,39.28156661987305,20.264949798583984,27.08987045288086,35.29710388183594,27.43690299987793,34.239051818847656
1986,49.029457092285156,44.23935317993164,52.05372619628906,36.50538635253906,41.99517822265625,21.944034576416016,29.09225082397461,40.34514617919922,35.01560592651367,45.404029846191406
1987,53.685523986816406,48.270626068115234,58.56928253173828,44.87133026123047,42.75824737548828,19.61783218383789,30.659568786621094,35.72781753540039,33.30366516113281,46.698089599609375
1988,52.30659484863281,41.821067810058594,50.546180725097656,42.98267364501953,41.589359283447266,16.143465042114258,30.295879364013672,38.85814666748047,35.115474700927734,44.48225021362305
1989,53.988365173339844,48.08292770385742,50.638484954833984,44.130367279052734,41.47785949707031,17.342880249023438,31.62053871154785,38.35009002685547,38.20791244506836,51.944515228271484
1990,54.2111930847168,53.99208450317383,53.13972091674805,45.701805114746094,46.97761154174805,14.419607162475586,34.890018463134766,37.62077331542969,35.88056564331055,48.34765625
1991,53.14788818359375,44.65077209472656,51.532535552978516,42.1568489074707,42.798316955566406,17.456680297851562,35.31278610229492,38.0508918762207,26.104095458984375,42.63396072387695
1992,53.35208511352539,38.30278015136719,52.83063888549805,42.141876220703125,37.67959213256836,27.150386810302734,33.56538391113281,7.825842380523682,36.04685974121094,40.49175262451172
1993,51.94874572753906,47.82445526123047,52.076263427734375,17.201284408569336,36.93191146850586,14.532447814941406,31.87676429748535,25.88307762145996,27.815927505493164,48.94959259033203
1994,52.02334976196289,48.679107666015625,54.45156478881836,45.22233963012695,46.852439880371094,12.21235179901123,36.46697235107422,32.72412872314453,33.98548889160156,55.40153121948242
1995,53.02408981323242,50.70812225341797,51.63612365722656,44.73854446411133,46.158592224121094,7.882058620452881,33.357669830322266,33.40102005004883,33.43142318725586,51.72455596923828
1996,53.400203704833984,55.25344467163086,56.424991607666016,42.29822540283203,45.4780158996582,14.700299263000488,31.703636169433594,28.392322540283203,38.94096374511719,50.77609634399414
