year,MinRWBIL01_,MinRWBIL02_,MinRWBIL04_,MinRWBIL06_,MinRWBIL07_,MinRWBIL10_,MinRWBIL11_,MinRWBIL13_,MinRWBIL14_,MinRWBIL16_
1989,559.3984375,204.2265625,395.1328125,235.2890625,361.578125,296.6484375,473.4453125,207.3359375,320.078125,106.15625
1990,368.140625,104.765625,192.7421875,135.4375,280.1015625,340.75,251.0234375,84.1328125,259.65625,107.3984375
1991,553.4140625,218.5859375,416.984375,245.2265625,357.5546875,371.375,418.7578125,195.96875,336.53125,197.234375
1992,213.0859375,35.25,58.3203125,81.71875,94.9609375,58.2109375,187.1328125,8.734375,87.296875,22.5078125
1993,336.8125,94.4375,160.9375,23.40625,126.9140625,159.40625,167.3671875,44.5703125,44.2109375,36.234375
1994,480.640625,152.7734375,232.984375,256.1328125,250.140625,188.421875,335.96875,141.6796875,238.78125,132.6484375
1995,598.3046875,139.6796875,245.296875,186.4296875,282.9609375,277.640625,457.0390625,101.53125,247.8359375,132.6015625
1996,358.1796875,103.4140625,62.7890625,53.578125,205.0859375,171.6015625,322.6796875,38.0546875,127.78125,34.46875
1997,689.5546875,232.5,349.6640625,332.453125,426.578125,423.1328125,805.796875,326.1875,317.1875,277.5859375
1998,437.1171875,131.703125,164.6484375,180.8984375,300.7265625,424.03125,641.3984375,330.84375,240.359375,84.8359375
1999,576.2890625,213.4453125,264.796875,232.734375,345.1953125,453.5859375,753.296875,409.4765625,312.2421875,176.0078125
2000,466.625,155.6171875,208.21875,125.6875,352.34375,380.8203125,672.359375,375.8359375,295.3828125,114.46875
2001,582.171875,114.9140625,160.8984375,165.15625,253.34375,440.640625,522.4140625,242.9453125,332.3203125,103.4140625
2002,457.6796875,179.0625,295.703125,231.3046875,234.7421875,304.8984375,517.359375,222.7890625,357.78125,109.3984375
2003,405.90625,130.9765625,197.03125,179.3984375,271.21875,251.8828125,364.140625,174.0546875,290.4375,30.8671875
2004,518.015625,215.2734375,362.9453125,265.6796875,327.125,378.3515625,542.40625,263.015625,418.0078125,188.3125
