year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1919,685.187744140625,391.84100341796875,729.9732666015625,180.22496032714844,344.8910217285156,529.8182983398438,411.3034973144531,404.8977966308594,567.0474243164062,216.64137268066406
1920,684.9532470703125,382.63153076171875,700.1154174804688,177.80712890625,355.5567932128906,338.5514831542969,439.39093017578125,405.689453125,532.8453369140625,436.0647888183594
1921,562.5985717773438,191.5991668701172,172.7540740966797,48.54283142089844,199.95108032226562,341.8465576171875,212.4254608154297,221.6057891845703,209.66653442382812,139.54782104492188
1922,867.3358764648438,374.6639404296875,444.0417785644531,182.3655242919922,416.69476318359375,492.7213134765625,339.73565673828125,476.035888671875,515.5443115234375,308.0193786621094
1923,1586.072998046875,538.0530395507812,1058.9937744140625,329.09259033203125,475.1073303222656,599.0064697265625,621.662109375,778.5045166015625,666.9642944335938,435.1205139160156
1924,1259.329833984375,548.5501708984375,1225.6427001953125,342.1116638183594,474.81451416015625,514.2522583007812,615.0809936523438,627.4556274414062,515.4797973632812,676.1866455078125
1925,1432.0592041015625,576.1520385742188,1566.8245849609375,303.72894287109375,531.3731689453125,484.8598937988281,625.210205078125,656.3798217773438,430.26904296875,605.8515625
1926,877.434814453125,397.57647705078125,810.405517578125,225.77769470214844,450.84332275390625,557.0156860351562,612.3252563476562,472.76092529296875,360.2746887207031,422.26470947265625
1927,921.4889526367188,394.808837890625,726.5339965820312,244.8443145751953,413.3637390136719,507.5745544433594,481.72686767578125,494.03106689453125,373.7641906738281,482.0435485839844
1928,1163.6151123046875,293.9385070800781,677.9199829101562,321.429443359375,507.1932067871094,602.6097412109375,528.2810668945312,616.8706665039062,385.46282958984375,443.6812438964844
1929,1504.26171875,504.61688232421875,1319.629150390625,467.65447998046875,631.8907470703125,1077.017822265625,822.0719604492188,1068.8956298828125,761.4248657226562,673.401611328125
1930,1118.4273681640625,415.4768981933594,898.9425659179688,501.88714599609375,584.861083984375,676.3440551757812,664.4368896484375,1030.3336181640625,572.267333984375,510.2380065917969
1931,1489.53173828125,457.4410400390625,1013.5509033203125,513.1505126953125,636.5304565429688,567.7280883789062,865.09814453125,891.0150756835938,664.1048583984375,705.607177734375
1932,1691.27490234375,396.4405822753906,1120.994384765625,545.9859619140625,526.0106811523438,544.406494140625,705.2083129882812,1160.0411376953125,682.6561889648438,810.9486694335938
1933,1346.159423828125,378.2917785644531,842.5760498046875,420.4582824707031,467.59735107421875,348.3489990234375,592.9241943359375,809.5048217773438,683.8805541992188,642.8518676757812
1934,679.121337890625,270.4686584472656,467.54278564453125,280.310302734375,332.0819396972656,457.953125,450.55108642578125,561.2023315429688,400.0069580078125,412.63916015625
1935,1092.094482421875,623.3428955078125,1029.2587890625,493.4730529785156,670.314697265625,384.68243408203125,893.2186889648438,739.3345947265625,576.1389770507812,726.0912475585938
