year,MinLABIL01_,MinLABIL02_,MinLABIL04_,MinLABIL06_,MinLABIL07_,MinLABIL10_,MinLABIL11_,MinLABIL13_,MinLABIL14_,MinLABIL16_
1926,40.54798126220703,20.089778900146484,40.39366912841797,21.23080825805664,7.374627590179443,40.11552047729492,13.333515167236328,16.020090103149414,40.23020553588867,30.184480667114258
1927,40.11469650268555,20.508956909179688,40.00995635986328,21.09981918334961,7.033821105957031,40.002262115478516,13.969099044799805,18.49857521057129,40.44976806640625,30.266572952270508
1928,40.39982986450195,20.237220764160156,40.387020111083984,20.059003829956055,8.261194229125977,40.53106689453125,14.865591049194336,19.6507511138916,40.35541915893555,30.5872745513916
1929,40.329620361328125,20.297664642333984,20.432008743286133,22.5275936126709,7.711877822875977,40.165435791015625,13.560924530029297,18.170085906982422,40.01863479614258,30.65646743774414
1930,40.6810417175293,20.483951568603516,20.23746109008789,20.464242935180664,7.2403645515441895,41.429290771484375,13.789813041687012,16.117229461669922,40.010562896728516,30.087614059448242
1931,40.35239028930664,20.216962814331055,20.139183044433594,20.164051055908203,7.701257228851318,40.53969955444336,13.528314590454102,15.639718055725098,40.20598220825195,30.23356056213379
1932,40.073299407958984,20.09832763671875,20.077022552490234,24.112062454223633,20.074268341064453,41.31414031982422,13.056297302246094,16.803918838500977,40.46633529663086,30.152767181396484
1933,40.029598236083984,20.074214935302734,20.025306701660156,26.994226455688477,20.03399658203125,41.21916961669922,13.556416511535645,16.504051208496094,40.00339889526367,30.119260787963867
1934,40.06681442260742,20.31624412536621,20.089767456054688,21.99068832397461,20.04192543029785,41.43565368652344,14.45764446258545,16.149141311645508,40.01994705200195,30.022748947143555
1935,40.000545501708984,20.090253829956055,20.97074317932129,31.130882263183594,20.00971794128418,41.0275993347168,13.334498405456543,15.041504859924316,40.00231170654297,30.20174789428711
1936,40.01921844482422,20.51980209350586,20.022716522216797,20.616308212280273,20.41607666015625,41.15835189819336,12.181245803833008,24.32577896118164,40.19256591796875,40.01852035522461
1937,40.05073928833008,20.46486473083496,20.17120361328125,21.97063636779785,20.04226303100586,40.1812744140625,12.063985824584961,15.79271411895752,40.254119873046875,40.14076232910156
1938,40.14075469970703,21.53898811340332,20.023239135742188,57.51591873168945,20.07491683959961,40.424747467041016,13.822366714477539,13.5783052444458,40.0664176940918,40.44176483154297
