year,DradBIL01_,DradBIL02_,DradBIL04_,DradBIL06_,DradBIL07_,DradBIL10_,DradBIL11_,DradBIL13_,DradBIL14_,DradBIL16_
1906,29.73155975341797,27.722326278686523,30.598487854003906,32.199241638183594,26.758108139038086,29.35808563232422,26.318336486816406,27.01106071472168,33.94495391845703,28.94545555114746
1907,31.93891143798828,30.738122940063477,30.447799682617188,31.80873680114746,24.67900848388672,31.801105499267578,27.75897789001465,27.999448776245117,34.20708084106445,29.136005401611328
1908,25.37986183166504,25.139751434326172,24.945554733276367,27.722497940063477,16.66020965576172,24.009231567382812,20.89786720275879,26.227375030517578,27.549772262573242,23.85524559020996
1909,26.102710723876953,20.251461029052734,22.906633377075195,19.833999633789062,19.402015686035156,25.754499435424805,25.807418823242188,21.85810661315918,24.07847785949707,20.97812843322754
1910,30.527021408081055,28.25377082824707,30.268346786499023,23.71841812133789,25.253725051879883,23.907011032104492,23.611740112304688,26.44182777404785,27.990402221679688,28.940616607666016
1911,32.242454528808594,25.774192810058594,29.202978134155273,28.26642417907715,22.033695220947266,29.892518997192383,26.4289608001709,27.575958251953125,29.72951889038086,20.67693328857422
1912,30.51031494140625,28.64804458618164,31.68134307861328,25.443588256835938,22.72662353515625,28.631900787353516,24.06505012512207,26.395204544067383,25.292530059814453,25.759971618652344
1913,23.855064392089844,24.818960189819336,24.074230194091797,20.595184326171875,17.963642120361328,25.242938995361328,20.929832458496094,21.60112762451172,25.90489387512207,22.502033233642578
1914,34.70254898071289,26.336381912231445,29.085433959960938,33.17825698852539,24.350862503051758,30.027578353881836,26.987897872924805,32.24721908569336,25.604034423828125,19.846309661865234
1915,30.830835342407227,29.52629852294922,32.16231918334961,29.001787185668945,25.610918045043945,29.901033401489258,29.219839096069336,30.24335479736328,30.944936752319336,22.4162654876709
1916,30.15966796875,28.074052810668945,32.787052154541016,28.41691017150879,21.98634910583496,31.395553588867188,23.63549041748047,28.613664627075195,28.554691314697266,19.899137496948242
1917,32.477027893066406,26.694263458251953,30.883390426635742,29.90285873413086,22.297260284423828,36.811309814453125,22.31087303161621,29.823169708251953,21.28706932067871,21.367366790771484
1918,30.441621780395508,25.989635467529297,33.42866516113281,31.866649627685547,19.199169158935547,28.382492065429688,19.296844482421875,29.644023895263672,27.56806182861328,20.466856002807617
1919,28.52570915222168,25.808319091796875,29.387876510620117,27.41700553894043,16.621034622192383,27.72672462463379,22.28345489501953,25.140161514282227,23.62076759338379,19.15420913696289
1920,28.614181518554688,25.072925567626953,29.319812774658203,29.230993270874023,20.45795249938965,24.196605682373047,25.340930938720703,26.684959411621094,25.302221298217773,22.838808059692383
1921,24.910438537597656,21.887929916381836,18.453777313232422,17.07140350341797,16.932411193847656,25.12838363647461,17.490571975708008,19.199342727661133,18.6103458404541,16.952423095703125
1922,33.26382827758789,30.023670196533203,30.765369415283203,29.081621170043945,22.467811584472656,27.955581665039062,27.16012954711914,30.62559700012207,31.504905700683594,23.32382583618164
1923,28.468236923217773,29.6340274810791,32.6740608215332,30.221860885620117,19.47435188293457,30.626604080200195,23.425535202026367,29.566743850708008,29.201839447021484,21.82740020751953
1924,29.09881019592285,30.652490615844727,34.6015625,29.760711669921875,24.64174461364746,29.25553321838379,26.613401412963867,32.90196228027344,31.134971618652344,26.734004974365234
1925,28.939714431762695,23.28497314453125,30.401308059692383,31.17772674560547,22.855539321899414,29.498151779174805,24.107494354248047,31.042631149291992,32.969444274902344,23.845565795898438
1926,29.619384765625,25.90166664123535,33.79710006713867,32.72348403930664,22.394495010375977,27.620996475219727,24.9578800201416,27.650951385498047,30.33609962463379,24.077579498291016
1927,32.78748321533203,28.241668701171875,31.061798095703125,30.802820205688477,23.810590744018555,30.96514129638672,25.194608688354492,29.60564422607422,31.066574096679688,24.280014038085938
1928,30.031824111938477,22.380327224731445,26.155414581298828,32.20832824707031,23.55594825744629,27.042917251586914,21.71086311340332,29.560659408569336,26.903051376342773,23.631528854370117
1929,31.791576385498047,25.894514083862305,36.74208068847656,35.46247863769531,22.209007263183594,32.352638244628906,23.422990798950195,30.369298934936523,26.444616317749023,26.69319725036621
1930,33.72462463378906,27.355239868164062,26.639616012573242,39.2359619140625,25.6506404876709,31.8743896484375,29.964048385620117,34.92156982421875,28.324459075927734,26.241954803466797
1931,30.42905616760254,24.022064208984375,20.918140411376953,38.168704986572266,21.184133529663086,30.376920700073242,23.474334716796875,28.61344337463379,29.06040382385254,25.373842239379883
1932,32.94987106323242,29.902610778808594,27.311513900756836,35.2653923034668,25.93599510192871,29.943763732910156,28.597965240478516,31.070295333862305,29.98497772216797,30.207927703857422
1933,24.995174407958984,23.653106689453125,23.956872940063477,31.7315673828125,19.9238338470459,32.3598518371582,21.614105224609375,24.478273391723633,23.482759475708008,26.928678512573242
1934,23.67508888244629,19.80534553527832,20.26852035522461,30.776838302612305,17.101207733154297,25.516786575317383,21.364425659179688,22.207063674926758,20.636669158935547,23.391429901123047
1935,29.824689865112305,26.615753173828125,24.844627380371094,36.07601547241211,23.677467346191406,28.678295135498047,25.633045196533203,31.053237915039062,28.845735549926758,26.018266677856445
1936,29.90142059326172,25.384517669677734,27.071340560913086,28.71689224243164,21.221206665039062,24.65118408203125,26.76276397705078,26.481687545776367,27.429183959960938,27.206392288208008
1937,28.408018112182617,33.32856750488281,27.0583553314209,38.840579986572266,21.7359619140625,28.845956802368164,24.639141082763672,28.811185836791992,32.6235237121582,34.06161880493164
1938,28.626466751098633,23.66153907775879,20.39084815979004,30.89551544189453,18.276962280273438,23.088314056396484,20.687711715698242,25.866228103637695,22.023618698120117,24.97813606262207
1939,26.751718521118164,20.195167541503906,25.253215789794922,31.792062759399414,21.774784088134766,26.048503875732422,24.861780166625977,19.03131103515625,22.488744735717773,26.776769638061523
1940,30.657331466674805,28.49228286743164,28.371017456054688,35.105934143066406,22.92574119567871,29.652711868286133,24.61134147644043,25.651517868041992,25.554534912109375,29.054996490478516
1941,28.872234344482422,34.23661422729492,24.025009155273438,38.14934539794922,22.405654907226562,26.91131019592285,23.157907485961914,29.945112228393555,33.12571716308594,33.6566276550293
1942,31.17301368713379,28.94170570373535,28.836830139160156,34.78392028808594,23.764890670776367,28.25465965270996,25.860816955566406,31.893251419067383,37.0275764465332,30.05751609802246
1943,32.35036849975586,26.205554962158203,28.124744415283203,39.55485534667969,26.165584564208984,29.720327377319336,25.907968521118164,29.120586395263672,36.096614837646484,28.458555221557617
1944,30.039451599121094,29.590208053588867,28.618471145629883,39.85454177856445,30.095483779907227,30.200960159301758,27.390249252319336,28.59451675415039,29.630537033081055,31.008880615234375
1945,29.322368621826172,21.993688583374023,25.752145767211914,4.071146011352539,29.659820556640625,30.054492950439453,22.397247314453125,26.357772827148438,31.396451950073242,32.04998016357422
1946,30.539508819580078,32.51028823852539,28.80664825439453,21.37995147705078,24.85903549194336,29.6623477935791,24.821596145629883,23.55880355834961,29.46698760986328,29.13154411315918
1947,33.3139762878418,31.605993270874023,31.39508819580078,27.28385353088379,27.591392517089844,34.287315368652344,28.345705032348633,31.8819637298584,36.46414566040039,34.97679901123047
1948,30.288190841674805,30.944671630859375,32.40996170043945,28.131532669067383,27.18924331665039,34.120330810546875,28.637279510498047,31.899911880493164,30.768779754638672,32.96818542480469
1949,29.131929397583008,26.78785514831543,26.765933990478516,21.985424041748047,23.621179580688477,31.648509979248047,24.34777069091797,30.27337074279785,24.6005802154541,27.602632522583008
1950,27.387346267700195,18.996849060058594,20.286178588867188,18.1967716217041,19.566059112548828,22.232847213745117,19.9805965423584,28.00325584411621,22.22493553161621,20.929424285888672
1951,27.893335342407227,20.73511505126953,24.5882568359375,18.138051986694336,18.98634147644043,23.270036697387695,21.85114860534668,24.127473831176758,24.692468643188477,22.673675537109375
1952,34.49945068359375,31.615192413330078,27.522855758666992,28.870014190673828,24.525466918945312,35.21849060058594,22.473987579345703,37.13642883300781,31.48596954345703,33.97087097167969
1953,31.140417098999023,28.18391990661621,31.113805770874023,31.127592086791992,24.779159545898438,33.469730377197266,24.447986602783203,35.76403045654297,27.63355255126953,34.5950813293457
1954,29.04739761352539,22.922945022583008,26.723642349243164,22.307262420654297,24.35770034790039,29.584901809692383,22.545944213867188,29.3529109954834,28.469331741333008,26.356739044189453
1955,30.45444107055664,25.26673126220703,27.767257690429688,24.49215316772461,22.370506286621094,29.967327117919922,22.6756534576416,31.188377380371094,28.109386444091797,27.374788284301758
1956,30.409395217895508,23.899370193481445,30.268917083740234,24.733287811279297,23.88021469116211,27.965435028076172,23.261974334716797,35.5086784362793,26.044048309326172,28.43794059753418
1957,34.02900314331055,26.512046813964844,36.77076721191406,27.117298126220703,27.457664489746094,29.351093292236328,28.83781623840332,34.657142639160156,27.353025436401367,28.558822631835938
