year,Ks*BIL01_,Ks*BIL02_,Ks*BIL04_,Ks*BIL06_,Ks*BIL07_,Ks*BIL10_,Ks*BIL11_,Ks*BIL13_,Ks*BIL14_,Ks*BIL16_
1923,0.015680486785710518,0.0102694721351277,0.011602121002767604,0.011604642058022441,0.006833936852918564,0.010240792923324029,0.010568681747418712,0.01641861462005909,0.0145029680586836,0.005362014901956962
1924,0.01558768765322518,0.010860808046444171,0.011754452021549686,0.011515830774875904,0.009552037757121792,0.011701940240656647,0.011491897299459014,0.017128307525322035,0.014095331395481917,0.0064490068035270055
1925,0.017699603537279274,0.009622195292656463,0.013399752446481271,0.012493890845745273,0.009589703667669936,0.01195739542560838,0.011310926877641049,0.015520746020054075,0.01442846311837124,0.007880358471571508
1926,0.015512370248431053,0.010263414202735924,0.01389767304172818,0.012714528195806842,0.007779144357316011,0.011415570873164698,0.010389071102090836,0.014564370306055795,0.013557063855014973,0.007266726443920429
1927,0.01658855483457745,0.009724596605231008,0.014779150071653455,0.01251110663596102,0.008555329296054456,0.012169823754845904,0.012109660049430612,0.016356607021853663,0.013706594988379187,0.008559090364826072
1928,0.016541006775859995,0.009601290016917787,0.012668120362119057,0.013164247589120636,0.009463980237798037,0.012810136484243227,0.010339516791064537,0.017869372462701486,0.012343900315885723,0.00781357916915302
1929,0.016590115969197742,0.009080096704677153,0.00799027769557226,0.01299430415141283,0.007933602602591171,0.011719238386231172,0.011213567463614196,0.01752566213818105,0.012082292649558924,0.00803778942642644
1930,0.01811826097250023,0.010081084498380044,0.006083850862961775,0.01461792996047523,0.010072916938812192,0.011561738088909736,0.012087662808207502,0.01951787310185276,0.010029172867164269,0.008735368773819948
1931,0.01658671595650464,0.009807232591864357,0.00518351332961613,0.014365242164527937,0.00823156426382458,0.010815855385553783,0.011383720695325276,0.014535912294937718,0.012379982447894185,0.008265674881038857
1932,0.018327737341210678,0.010390852818089068,0.006533584046772185,0.012467884838311702,0.008468481898174875,0.012017797809636252,0.012232370722197973,0.01566783174157856,0.011175237367833617,0.009019893444057871
1933,0.010853528064477971,0.008782140117759058,0.00653228314129198,0.009682007144398647,0.0061182044123829025,0.010893390617833815,0.009820725597366077,0.011251426975527544,0.006526409023324659,0.007256455417407808
1934,0.0112296967969934,0.009318522002262195,0.005795416744266497,0.007995916397019227,0.0054677146510019635,0.008179551156923119,0.009946642018858955,0.010815049074896404,0.00530131993619374,0.00766254176581862
1935,0.014847679419227352,0.01149198637563858,0.0075999166455480525,0.011387807943212609,0.009416615633572949,0.006943419943269839,0.01133348857406929,0.014464265732065402,0.010262649452880003,0.009618007834216773
1936,0.015372578852803836,0.010962212337979765,0.008697463155745733,0.009222220293684616,0.009177513494568254,0.006736952817764926,0.012057974579742618,0.012213943772429096,0.011117477346841341,0.009988733952865684
