year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1913,21.950075149536133,20.277862548828125,18.400588989257812,17.405292510986328,16.68211555480957,19.217653274536133,18.04128646850586,19.377681732177734,19.273210525512695,18.784442901611328
1914,24.81189727783203,21.634477615356445,20.108510971069336,20.95685386657715,16.610870361328125,23.147048950195312,20.74728012084961,22.72072982788086,21.717374801635742,19.68568992614746
1915,25.72186279296875,22.887710571289062,20.519508361816406,20.50153923034668,18.352371215820312,23.71185302734375,22.001819610595703,23.4041690826416,20.73693084716797,20.288923263549805
1916,23.17011260986328,20.743850708007812,19.506563186645508,20.31316566467285,16.954286575317383,21.598255157470703,18.817100524902344,22.293460845947266,19.21891975402832,16.574954986572266
1917,23.879907608032227,20.235504150390625,20.872241973876953,21.902889251708984,18.95858383178711,24.56827735900879,19.03778076171875,22.883066177368164,18.245397567749023,17.445240020751953
1918,22.590717315673828,21.773435592651367,20.71040153503418,22.023237228393555,17.223262786865234,21.039203643798828,17.2569637298584,22.00101089477539,20.079458236694336,17.230012893676758
1919,22.18830680847168,22.260244369506836,20.21195411682129,22.25255584716797,15.332575798034668,20.314483642578125,18.47821044921875,20.875598907470703,19.116851806640625,19.864255905151367
1920,23.748083114624023,23.438446044921875,22.607219696044922,23.963058471679688,19.66647720336914,22.8685245513916,22.349853515625,23.711366653442383,23.298267364501953,20.744325637817383
1921,20.954557418823242,21.682146072387695,19.24807357788086,21.496932983398438,16.340425491333008,19.749183654785156,17.65399932861328,20.620574951171875,19.07662010192871,20.317712783813477
1922,24.733932495117188,24.413434982299805,23.218965530395508,23.60381317138672,19.33196449279785,22.17896842956543,22.20596694946289,23.861196517944336,24.31358528137207,20.3900089263916
1923,22.368511199951172,22.664072036743164,21.539552688598633,21.214466094970703,16.77156639099121,21.783546447753906,19.066064834594727,21.851350784301758,22.156005859375,18.897676467895508
1924,23.628324508666992,23.15509796142578,22.550724029541016,20.4035587310791,19.080495834350586,23.527027130126953,19.283449172973633,23.01113510131836,22.826005935668945,20.07703971862793
1925,24.067991256713867,21.94513511657715,21.69196891784668,21.67748260498047,18.0574951171875,23.353084564208984,19.46059226989746,21.839231491088867,23.61798095703125,18.90608787536621
1926,22.999845504760742,22.50257682800293,23.370641708374023,22.79607582092285,17.50728416442871,23.882631301879883,19.104894638061523,22.260467529296875,22.245758056640625,19.926786422729492
1927,23.34491539001465,22.327693939208984,24.535886764526367,20.895009994506836,18.114896774291992,22.135156631469727,20.59930419921875,21.827707290649414,22.961437225341797,19.490081787109375
1928,23.42737579345703,23.25880241394043,22.009180068969727,21.170019149780273,18.35702133178711,21.73613739013672,20.885255813598633,23.009279251098633,20.667848587036133,19.46592140197754
