year,Dh2BIL01_,Dh2BIL02_,Dh2BIL04_,Dh2BIL06_,Dh2BIL07_,Dh2BIL10_,Dh2BIL11_,Dh2BIL13_,Dh2BIL14_,Dh2BIL16_
1932,32.27997970581055,29.864517211914062,25.183032989501953,29.53199005126953,25.152503967285156,30.3831729888916,27.638010025024414,29.54304313659668,26.595890045166016,26.149730682373047
1933,26.91926383972168,26.91865348815918,24.218965530395508,27.825571060180664,22.767122268676758,30.913070678710938,25.039505004882812,26.19845962524414,23.290447235107422,23.653949737548828
1934,27.005413055419922,26.308658599853516,23.00493812561035,25.807159423828125,20.948305130004883,28.255170822143555,25.053468704223633,25.398761749267578,22.088685989379883,23.24818229675293
1935,29.824066162109375,28.893226623535156,25.451881408691406,28.583900451660156,24.89642333984375,28.808609008789062,26.802045822143555,28.864704132080078,26.400911331176758,25.242780685424805
1936,30.548521041870117,27.924388885498047,27.52256965637207,27.074359893798828,24.61001968383789,26.489526748657227,28.134632110595703,27.465726852416992,27.359472274780273,26.349227905273438
1937,29.05333137512207,31.24652671813965,27.4644775390625,30.29014015197754,24.609899520874023,29.718402862548828,28.427785873413086,29.133739471435547,28.506954193115234,27.73418426513672
1938,30.322368621826172,27.107431411743164,23.659748077392578,27.190048217773438,23.054542541503906,25.166507720947266,26.049901962280273,27.91439437866211,25.183361053466797,23.639158248901367
1939,29.733081817626953,24.5673770904541,26.370376586914062,27.6302490234375,25.146902084350586,27.822895050048828,28.473730087280273,24.085466384887695,24.601041793823242,25.306076049804688
1940,30.257970809936523,27.904624938964844,26.88775062561035,29.23138999938965,25.729625701904297,29.445219039916992,29.36681365966797,25.937379837036133,25.170827865600586,26.427637100219727
1941,29.000093460083008,28.98824691772461,26.91670799255371,30.677753448486328,24.388442993164062,26.51804542541504,28.765647888183594,26.937023162841797,29.221899032592773,28.21287727355957
1942,30.42987823486328,27.617542266845703,28.137399673461914,28.453413009643555,25.060503005981445,26.053163528442383,28.978899002075195,28.809057235717773,31.189809799194336,27.252986907958984
1943,31.658138275146484,27.901487350463867,28.551095962524414,31.050804138183594,25.377700805664062,27.677461624145508,29.19716453552246,27.898250579833984,30.726247787475586,27.70100212097168
1944,29.231603622436523,27.98406982421875,27.93208885192871,29.065200805664062,27.57434844970703,27.116146087646484,29.745193481445312,29.787017822265625,27.165199279785156,28.229360580444336
1945,28.72179412841797,27.84946060180664,26.919795989990234,5.03695821762085,26.650203704833984,26.6107234954834,27.266220092773438,27.682310104370117,27.313222885131836,30.433460235595703
1946,31.10173797607422,31.372692108154297,28.983049392700195,26.484554290771484,25.00593376159668,26.652563095092773,29.602317810058594,26.740419387817383,27.024234771728516,28.792360305786133
1947,32.42189407348633,31.713214874267578,31.15566062927246,27.289335250854492,26.592315673828125,29.041658401489258,31.563392639160156,30.72983741760254,29.927978515625,31.7206974029541
1948,30.890615463256836,31.954137802124023,31.301471710205078,27.740488052368164,25.58838653564453,29.924728393554688,31.320459365844727,30.40560531616211,24.848922729492188,29.701059341430664
1949,29.4947452545166,30.452096939086914,27.245283126831055,25.159717559814453,24.20030403137207,29.651527404785156,28.794918060302734,29.596439361572266,23.81020164489746,28.051280975341797
1950,29.327390670776367,24.587215423583984,23.626129150390625,23.91535186767578,23.469459533691406,24.65983772277832,25.99233627319336,29.312559127807617,23.796072006225586,23.730688095092773
1951,28.33536148071289,27.75425910949707,26.71236801147461,23.443496704101562,23.13701820373535,26.469053268432617,27.06351661682129,27.280437469482422,24.944276809692383,24.87273597717285
1952,31.757427215576172,31.62618637084961,29.659427642822266,29.30049705505371,24.461977005004883,29.879297256469727,26.34645652770996,31.21198844909668,26.46363067626953,28.46066665649414
1953,31.090660095214844,30.49212074279785,30.129850387573242,29.564241409301758,25.125869750976562,28.899124145507812,28.822418212890625,28.828231811523438,24.821069717407227,29.56682586669922
