year,MinRWAPA06_,MinRWAPA07_,MinRWAPA08_,MinRWAPA09_,MinRWAPA10_,MinRWAPA11_,MinRWAPA13_,MinRWAPA15_,MinRWAPA17_,MinRWAPA19_
1858,599.125,155.6875,724.9609375,543.65625,439.2578125,303.65625,210.328125,161.5546875,437.1015625,328.34375
1859,482.734375,168.6328125,501.40625,518.6171875,491.6875,321.3671875,201.3671875,164.9140625,534.90625,426.1328125
1860,408.0859375,185.796875,610.1171875,464.6328125,523.2890625,295.1015625,195.28125,198.65625,545.125,380.890625
1861,347.4375,113.0078125,679.5078125,642.71875,663.5859375,279.09375,273.3359375,261.953125,515.015625,369.078125
1862,246.25,199.21875,539.703125,414.6953125,643.734375,199.609375,197.90625,210.828125,452.640625,376.734375
1863,247.328125,139.8515625,473.8359375,378.828125,490.1796875,281.6875,285.8671875,188.1875,372.671875,431.96875
1864,385.8046875,110.34375,670.5,641.78125,723.9921875,340.171875,336.28125,275.328125,265.2734375,389.8671875
1865,307.515625,135.1875,477.71875,563.734375,492.484375,361.7109375,231.5390625,169.109375,226.2578125,372.6484375
1866,225.2265625,123.8046875,410.5234375,555.53125,478.984375,211.1484375,255.375,92.953125,314.171875,301.0078125
1867,217.046875,201.0546875,434.828125,493.15625,545.625,180.7578125,208.859375,162.96875,299.984375,432.765625
1868,278.28125,69.59375,472.4453125,463.4453125,527.765625,282.703125,207.3046875,112.53125,157.328125,623.734375
1869,276.53125,178.984375,537.125,486.8125,604.96875,267.765625,131.7109375,128.6875,193.359375,546
1870,295.515625,150.515625,511.3984375,369.71875,581.7421875,293.7421875,154.3984375,186.734375,161.453125,407.484375
1871,257.71875,48.4140625,460.390625,476.703125,480.546875,265.9296875,152.1875,242.203125,223.265625,317.4140625
1872,213.0390625,150.4296875,314.9609375,382.0703125,430.4765625,180.53125,160.0625,278.328125,170.578125,467
1873,285.375,162.9921875,477.125,489.5703125,486.453125,234.3359375,138.7265625,280.203125,142.34375,507.578125
1874,156.0234375,165.8515625,298.3984375,336.8984375,370.6484375,220.75,144.6328125,132.078125,84.2109375,352.6875
1875,243.296875,142.796875,566.796875,432.2734375,538.1875,261.7578125,43.921875,219.2890625,126.2734375,383.9453125
1876,248.9765625,69,664.328125,544.171875,541.40625,205.0859375,164.0078125,257.5234375,104.5078125,505.6015625
1877,180.28125,147.3125,518.359375,501.1953125,585.015625,337.9609375,79.921875,265.296875,123.609375,416.859375
1878,201.921875,171.859375,402.84375,475.1328125,493.578125,259.2890625,72.765625,278.40625,125.1640625,444.3046875
1879,131.21875,192.09375,346.9375,321.0703125,401.203125,219.3515625,114.8125,254.1640625,122.546875,325.359375
1880,83.9765625,131.1796875,327.0703125,368.171875,319.8984375,161.09375,165.015625,198.890625,115.515625,209.9765625
1881,90.78125,121.9921875,379,308.8828125,333.59375,169.75,155.921875,192.8671875,101.9765625,291.3359375
1882,113.265625,97.15625,435.3046875,202.4453125,419.3515625,235.046875,151.0234375,192.0390625,127.6640625,413.75
1883,147.453125,142.1484375,453.6171875,425.203125,402.515625,240.609375,156.9296875,258.3984375,122.6875,407.5859375
1884,170.890625,220.1640625,430.0390625,409.140625,388.7421875,196.6953125,82.7734375,222.484375,117.421875,393.4765625
1885,262.171875,290.546875,488.953125,415.8203125,443.375,253.1796875,65.4609375,302.921875,86.46875,416
1886,218.7890625,266.1484375,427.7890625,515.9375,472.15625,277.7109375,91.78125,210.40625,117.234375,520.5390625
1887,127,201.578125,418.515625,434.9375,294.515625,277.7578125,127.21875,165.5625,147.359375,368.6015625
1888,115.3046875,254.953125,435.546875,305.421875,446.640625,240.0546875,82.1953125,262.703125,117.328125,357.359375
1889,69.015625,197.9375,459.78125,419.3203125,378.3046875,252.5390625,38.453125,415.890625,56.90625,406.796875
1890,163.3046875,247.0390625,799.1796875,382.765625,532.9453125,281.5,25.671875,322.46875,39.9140625,578.984375
1891,161.078125,289.3984375,735.453125,542.015625,656.0078125,261.9140625,53.65625,268.1640625,23.3046875,571.9609375
1892,76.25,141.71875,466.0390625,433.6328125,357.390625,131.3515625,95.78125,162.6953125,86.1328125,339.4296875
1893,105.390625,184,566.5078125,386.7578125,387.1953125,149.09375,135.296875,271.734375,95.4453125,411.703125
1894,88.2734375,277.1328125,809.0078125,422.5859375,614.21875,186.140625,138.6328125,183.625,23.609375,620.7578125
1895,106.171875,305.5546875,841.140625,438.5234375,536.0703125,249.921875,82.5078125,245.6796875,39.703125,431.046875
1896,66.5078125,237.53125,784.375,503.4453125,456.6796875,298.3359375,46.734375,313.5,74.984375,534.6328125
1897,122.625,210.65625,582.1015625,449.6796875,431.2578125,218.0390625,45.5,333.5703125,-54.9140625,325.2421875
1898,140.515625,299.328125,902.75,607.3671875,594.4296875,309.421875,102.234375,382.9921875,32.7109375,374.4765625
1899,153.265625,364.046875,683.3671875,463.2734375,498.03125,217.9375,133.765625,394.15625,20.40625,347.6640625
1900,50.5859375,177.90625,416.6015625,451.34375,337.0546875,161.6484375,43.6953125,303.859375,33.8984375,352.1171875
1901,189.2734375,311.5703125,707.8203125,472.0625,656.71875,273.7265625,116.2109375,416.078125,89.4765625,525.6875
1902,101.5390625,256.4921875,625.5703125,576.75,532.6015625,164.484375,94.8828125,270.8046875,94.046875,466.515625
1903,81.265625,185.25,374.0546875,363.890625,345.5078125,154.421875,146.515625,321.2734375,14.1484375,395.390625
1904,145.1171875,341.703125,558.8046875,437.0390625,490.6015625,194.046875,93.7890625,436.71875,110.40625,720.6484375
1905,122.4453125,300.6328125,486.078125,532.5078125,488.921875,227.6875,156.625,409.8046875,83.9453125,731.828125
