year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1810;513.9239502;482.3764038;528.0457153;599.8807373;373.5410461;436.155426;441.2423706;149.3282776;506.3291321;408.2373657;443.9060425
1811;484.9890747;458.0293884;449.6647949;500.7570801;436.4149475;391.9883423;410.8964844;265.7576599;521.1895142;420.6314392;434.0318726
1812;494.4377747;432.0804443;552.4473267;644.0685425;427.7880249;436.8370361;473.5926819;215.0196991;558.618042;391.8151245;462.6704697
1813;484.4259644;292.7184753;477.0658264;468.8411255;256.4597473;420.8423462;589.9405518;242.5209198;500.8881836;282.5671082;401.6270249
1814;459.3540344;478.5749512;515.0251465;563.8563843;485.3487549;468.0557556;572.4138184;295.2978516;507.8259888;353.292511;469.9045197
1815;453.9638367;432.5744019;498.3649902;608.7785645;415.8359375;481.9898682;593.0078735;284.285614;423.394989;381.3481445;457.354422
1816;456.2609253;432.2469788;504.1921692;578.461731;440.0976257;483.3374329;601.6110229;351.5010986;474.3332825;320.6210632;464.266333
1817;402.1625671;413.8947754;480.4171448;573.0787964;426.5462646;491.5821838;463.0332336;372.8875732;482.3468323;349.8580933;445.5807465
1818;428.9470825;472.2887878;535.0300903;545.6329346;454.4196777;532.8596191;539.9750977;343.7621765;431.4771423;359.0281372;464.3420746
1819;474.8258057;501.5794373;476.3665466;610.65625;461.5846863;519.840332;425.5855103;393.787384;468.7189636;408.9301147;474.1875031
1820;456.9677429;492.3829041;481.4719543;554.9058228;430.7016296;462.4095764;422.09375;266.4193726;465.7797546;369.3036194;440.2436127
1821;506.0050354;306.5379333;518.3938599;591.9047852;428.3735352;536.1289673;531.9224243;351.1538696;512.6455688;364.005127;464.7071106
1822;510.7424927;434.9981689;561.9975586;667.5628662;467.1282654;530.6428223;373.8250732;231.4728394;410.2817993;405.4216309;459.4073517
1823;509.3792114;496.3728027;508.6044922;596.9000244;436.3334351;537.819519;409.721344;232.9759827;497.2435303;402.190033;462.7540375
1824;486.5197754;542.3603516;584.9403076;601.1385498;502.0824585;615.4567871;526.8883667;256.1187744;496.2391052;437.0498962;504.8794373
1825;368.545166;445.2887878;587.2850342;603.8815918;504.1832886;604.1503906;511.2410583;385.8920288;508.3603821;449.5939941;496.8421722
1826;486.9115601;0;486.9369507;580.7738037;507.788147;429.4252625;476.7286377;314.9358521;478.4886475;447.3803101;420.9369171
1827;627.8039551;0;419.2230835;509.4354858;524.9989624;504.6590881;467.7417603;280.7628479;434.175415;434.4221191;420.3222717
1828;572.9168091;0;502.4339294;466.1100769;472.0188904;580.5305176;411.5932312;209.6815033;487.2290039;444.1369629;414.6650925
1829;546.9927368;512.5510864;553.7451172;479.9273376;544.6972046;562.2240601;356.6960449;352.9013977;485.5784302;440.8927307;483.6206146
