year;MLACHO01_;MLACHO03_;MLACHO04_;MLACHO05_;MLACHO07_;MLACHO14_;MLACHO15_;MLACHO16_;MLACHO17_;MLACHO19_;aver
1876;550.2323608;585.9083252;495.8679504;610.6239624;513.4224854;502.1558838;0;615.3286743;469.4040527;577.7218628;492.0665558
1877;542.3961792;582.9343262;463.0342712;581.5031738;514.8449707;534.3700562;0;606.4370117;466.1322937;625.7332764;491.7385559
1878;458.426239;518.678833;411.5162964;504.7924805;487.0107422;523.7281494;0;611.9349365;453.4170227;618.8386841;458.8343384
1879;447.8123169;517.9447021;472.4310608;512.8065186;411.2311096;509.4606628;0;517.8170166;388.8288574;532.3839722;431.0716217
1880;540.0752563;612.1067505;401.919342;542.6780396;404.4969788;567.3303833;0;587.8648682;463.9937744;596.2926636;471.6758057
1881;411.3255005;535.5335693;351.1949463;479.2724609;481.4931641;468.3929443;0;531.7623901;411.4602356;566.1792603;423.6614471
1882;409.5512695;515.2088623;366.921936;491.0383301;467.6416626;285.6834412;0;552.0540161;382.1074524;506.2840881;397.6491058
1883;453.9039612;600.505127;397.8535767;597.0379028;616.2017822;455.9503784;0;631.9448242;488.6149597;499.7476807;474.1760193
1884;350.8695984;496.2292786;427.4996643;497.7633972;426.6213684;333.229248;485.9262085;493.3132629;366.723053;482.460022;436.0635101
1885;498.9692078;623.6046143;444.0152283;614.1803589;572.256958;457.4979858;471.8139954;765.0946655;513.4168091;564.0693359;552.4919159
1886;469.1304321;577.1511841;489.6554565;512.9890137;515.8232422;352.4666748;611.6013184;691.1143799;372.0623474;504.2878723;509.6281921
1887;167.3599091;539.3024902;430.1955566;216.4322815;440.0482483;147.8531647;501.4512024;610.883606;251.0733337;452.0465393;375.6646332
1888;415.9201965;515.1737671;355.210083;420.0062866;372.8822937;354.8056641;467.707489;722.2397461;368.1620483;480.8056641;447.2913239
1889;475.7405701;583.0110474;445.3156128;545.4693604;467.3609314;432.2823486;476.879364;750.3560181;411.0048218;565.3771973;515.2797272
1890;471.5274353;547.7579956;463.7388916;573.890625;480.8633118;464.2505798;534.8329468;664.7939453;408.9683533;500.8285522;511.1452637
1891;467.6363525;696.6306152;486.6750183;604.5038452;502.9833069;506.5288086;626.9764404;723.8823853;479.5559998;536.4158936;563.1788666
1892;413.8006592;423.3811646;434.3255005;406.0145569;421.1452942;291.1497192;616.1901855;439.2165527;305.4527588;347.962616;409.8639008
1893;492.1238403;507.5858765;486.0378418;426.7583923;375.1015015;461.8912048;455.1903076;577.8075562;362.1794434;486.0422974;463.0718262
