year,RCTA*KHA_03_,RCTA*KHA_06_,RCTA*KHA_09_,RCTA*KHA_12_,RCTA*KHA_14_,RCTA*KHA_15_,RCTA*KHA_16_,RCTA*KHA_17_,RCTA*KHA_19_,RCTA*KHA_20_
1875,37.868629455566406,26.55030632019043,43.135231018066406,38.725547790527344,38.87006759643555,0,32.280757904052734,41.971439361572266,44.7650260925293,19.24545669555664
1876,41.145816802978516,27.497447967529297,38.09014129638672,38.424598693847656,33.174747467041016,0,33.592185974121094,45.41933059692383,44.11319351196289,22.407150268554688
1877,47.041900634765625,25.645401000976562,39.438106536865234,35.85289001464844,33.723854064941406,0,32.49775314331055,47.50749206542969,47.9972038269043,19.902992248535156
1878,3.937969446182251,12.240612983703613,38.16521072387695,32.69245910644531,35.69060516357422,0,32.82041931152344,41.73672866821289,49.01973342895508,23.50667381286621
1879,13.53221607208252,27.854103088378906,38.441829681396484,42.49772262573242,36.65129852294922,0,31.928680419921875,48.33705520629883,45.861820220947266,22.944583892822266
1880,13.786876678466797,23.36932945251465,36.45272445678711,48.90509796142578,35.16343307495117,0,32.45402526855469,44.91997528076172,45.88166427612305,17.028953552246094
1881,14.992475509643555,23.273067474365234,33.9860725402832,41.25450897216797,35.55226516723633,0,28.768526077270508,42.2807731628418,50.03224563598633,21.793432235717773
1882,18.918319702148438,24.272497177124023,39.051090240478516,41.48752212524414,41.42251205444336,0,35.40971374511719,44.04106521606445,34.08061218261719,29.335918426513672
1883,19.06224250793457,24.849096298217773,29.259248733520508,47.73585891723633,37.411556243896484,0,35.888790130615234,39.61320495605469,34.539337158203125,24.079395294189453
1884,28.067859649658203,19.983007431030273,40.60390090942383,59.407100677490234,23.71125602722168,0,37.076839447021484,43.60849380493164,32.895938873291016,33.989322662353516
1885,24.521913528442383,40.19990158081055,30.04167366027832,0,15.84929084777832,0,39.15980529785156,44.04671859741211,27.576797485351562,39.87720489501953
1886,24.523773193359375,23.695480346679688,43.68144226074219,0,41.743709564208984,0,35.29865646362305,42.145965576171875,28.353492736816406,30.64784812927246
1887,25.974275588989258,24.981473922729492,40.091487884521484,0,37.98644256591797,0,34.71541976928711,36.969085693359375,25.107826232910156,23.409198760986328
1888,21.83722686767578,19.287073135375977,4.936031818389893,0,35.8994255065918,0,33.1837158203125,35.52442932128906,22.704933166503906,18.20119857788086
1889,18.100427627563477,31.85205841064453,0,0,36.26456069946289,0,29.85394859313965,42.37432861328125,15.633001327514648,17.473003387451172
1890,19.8358097076416,21.61382484436035,0,0,41.43943786621094,0,33.40990447998047,42.74135208129883,27.284154891967773,22.469722747802734
1891,19.25558090209961,28.429973602294922,0,0,40.82993698120117,0,35.62712097167969,37.68998336791992,37.826210021972656,20.0709285736084
1892,18.553974151611328,26.08979606628418,0,0,33.82615661621094,0,30.493669509887695,35.08808135986328,0,20.598541259765625
1893,17.628816604614258,25.136945724487305,0,0,43.631324768066406,0,27.34309196472168,32.90480041503906,18.084651947021484,22.615333557128906
1894,14.64345645904541,23.791215896606445,0,0,40.24090576171875,0,27.63813018798828,33.52745056152344,0.7816212177276611,17.852855682373047
1895,20.135387420654297,27.50718879699707,0,0,37.14299392700195,0,29.885372161865234,34.6910514831543,5.780855178833008,14.955314636230469
1896,17.811147689819336,23.014341354370117,0,0,39.86684036254883,0,35.396331787109375,35.57470703125,11.525225639343262,20.43488883972168
1897,11.58063793182373,26.600139617919922,0,0,45.56134796142578,0,42.17629623413086,31.44397735595703,17.421398162841797,13.665403366088867
1898,20.720685958862305,25.347381591796875,0,0,36.20466232299805,0,37.44156265258789,34.091312408447266,8.52601432800293,18.540077209472656
1899,14.3733549118042,20.71188735961914,0,0,41.00065994262695,0,37.12338638305664,39.61991882324219,15.33005428314209,24.458951950073242
1900,14.286528587341309,30.880985260009766,0,0,40.45203399658203,0,25.6814022064209,37.60418701171875,14.60636043548584,20.641904830932617
1901,15.538536071777344,26.6911678314209,0,0,43.25224685668945,0,37.240814208984375,42.090972900390625,12.173733711242676,21.73676872253418
1902,18.23004150390625,25.902828216552734,0,0,48.751617431640625,0,35.9244384765625,39.533416748046875,9.21170711517334,24.244110107421875
1903,10.463401794433594,26.575267791748047,0,0,42.71601867675781,0,25.504066467285156,37.266448974609375,22.53803062438965,17.602325439453125
1904,10.510714530944824,23.53626823425293,0,0,34.5697021484375,0,30.161375045776367,33.98032760620117,28.583206176757812,19.9219913482666
