year,CWTtanKHA_03_,CWTtanKHA_06_,CWTtanKHA_09_,CWTtanKHA_12_,CWTtanKHA_14_,CWTtanKHA_15_,CWTtanKHA_16_,CWTtanKHA_17_,CWTtanKHA_19_,CWTtanKHA_20_
1905,3.892622947692871,3.3774044513702393,0,5.070111274719238,3.6706457138061523,4.2972540855407715,3.280344247817993,3.2822213172912598,3.648712635040283,3.542738437652588
1906,3.9151997566223145,3.3527450561523438,0,3.645765542984009,3.731005907058716,3.911778211593628,2.9285149574279785,3.096606492996216,3.342341899871826,3.755019187927246
1907,4.2451372146606445,3.462583541870117,0,3.5349202156066895,3.6333582401275635,3.959097146987915,2.931226968765259,3.2807326316833496,3.3377342224121094,3.956568479537964
1908,4.815614700317383,4.526198387145996,0,4.563408851623535,3.770493984222412,4.992881774902344,2.9326906204223633,3.8165698051452637,3.5975985527038574,5.023113250732422
1909,4.248321056365967,2.737927198410034,0,3.213989734649658,3.7563371658325195,3.123814105987549,2.78193998336792,4.335977554321289,3.1751086711883545,5.249533653259277
1910,5.136252403259277,4.799559116363525,0,3.4639649391174316,4.137015342712402,5.439809322357178,3.9251720905303955,4.6156229972839355,3.9225921630859375,5.041255474090576
1911,4.480550289154053,4.288760185241699,0,3.3674845695495605,3.5103118419647217,5.586584568023682,2.9596972465515137,4.471623420715332,3.1446473598480225,3.874185085296631
1912,2.8592586517333984,2.31701397895813,0,2.1178081035614014,2.759895086288452,2.3541290760040283,2.572584390640259,3.2081217765808105,3.084625482559204,3.087674856185913
1913,3.6359875202178955,3.01957106590271,0,2.4194915294647217,3.3549935817718506,3.4031710624694824,2.914832353591919,3.2678470611572266,3.1999881267547607,5.722204685211182
1914,5.508219242095947,4.5700578689575195,0,3.7223877906799316,3.5560803413391113,5.673937797546387,3.064425468444824,4.1018195152282715,3.26503849029541,5.74623441696167
1915,5.047447204589844,4.370477199554443,0,2.610891819000244,4.738128662109375,4.029767036437988,2.6466715335845947,4.5998029708862305,3.3377251625061035,5.143387794494629
1916,4.630536079406738,3.9046919345855713,0,4.078334808349609,3.8228418827056885,5.129767417907715,2.8253848552703857,4.826198101043701,3.417576789855957,5.49407434463501
1917,5.26899528503418,4.315887928009033,0,4.07403039932251,4.120509147644043,5.801980018615723,2.5886433124542236,5.038265705108643,3.493481159210205,5.549595355987549
1918,4.697474956512451,4.142317295074463,0,4.201951026916504,3.5335988998413086,4.698330402374268,3.486970901489258,4.697333335876465,3.6403021812438965,4.729493618011475
1919,5.097273826599121,3.926356792449951,0,3.888432264328003,4.0307817459106445,5.177522659301758,3.0409438610076904,4.441448211669922,3.0844686031341553,5.528890132904053
