year,MaxRWKHA_03_,MaxRWKHA_06_,MaxRWKHA_09_,MaxRWKHA_12_,MaxRWKHA_14_,MaxRWKHA_15_,MaxRWKHA_16_,MaxRWKHA_17_,MaxRWKHA_19_,MaxRWKHA_20_
1939,611.6328125,441.0546875,0,516.65625,503.8671875,807.03125,729.2890625,1061.765625,701.2265625,430.5625
1940,514.984375,440.28125,0,570.4765625,440.4140625,578.71875,686.015625,1051.6953125,696.6171875,335.0859375
1941,881.15625,538.4140625,323.6328125,473.9921875,672.015625,720.40625,793.5078125,474.7890625,1866.046875,953.1640625
1942,476.296875,386.3203125,265.4765625,465.96875,386.34375,467.5234375,718.71875,1252.03125,1716.3046875,356.71875
1943,817.265625,412.9375,295.53125,532.0859375,480.484375,588.3046875,627.1484375,1279.1953125,1096.3984375,474.2265625
1944,594.0390625,341.6484375,146.71875,423.5390625,402.875,394.7109375,386.3984375,885.921875,532.9765625,348.875
1945,746.46875,492.4296875,257.46875,608.6328125,519.3359375,754.703125,673.265625,1220.5703125,599.2578125,420.3984375
1946,502.390625,385.90625,226.1171875,554.1484375,485.2109375,665.9140625,521.3125,712.0625,628.9453125,335.875
1947,177.9453125,125.953125,33.03125,433.96875,86.6640625,186.265625,238.8203125,212.140625,234.40625,95.046875
1948,605.84375,339.5625,220.5234375,624.171875,517.28125,716.6875,663.3984375,897.9375,555.2109375,226.703125
1949,195.2890625,122.0390625,75.5625,509.9609375,222.078125,557.0078125,390.9140625,290.3203125,406.75,114.1796875
1950,336.1953125,206.8515625,84.78125,540.953125,236.265625,429.375,339.2265625,468.171875,212.953125,176.4140625
1951,312.4140625,284.6875,92.71875,752.078125,453.46875,589.8203125,422.359375,432.9296875,325.265625,186.8828125
1952,355.953125,285.546875,157.515625,515.5,269.7890625,300.546875,349.609375,433.578125,223.984375,186.109375
1953,490.4453125,362.90625,220.9921875,754.4375,548.9375,685.8125,601.515625,819.8671875,541.6484375,224.0859375
1954,299.7734375,279.34375,115.28125,279.5390625,202.4765625,299.7421875,344.75,500.7109375,274.7421875,113.1328125
1955,376.59375,163.1328125,186.2578125,215,260.4140625,0,457.1015625,603.6484375,393.8984375,134.5859375
