year,CWAKHA_03_,CWAKHA_06_,CWAKHA_09_,CWAKHA_12_,CWAKHA_14_,CWAKHA_15_,CWAKHA_16_,CWAKHA_17_,CWAKHA_19_,CWAKHA_20_
1928,665.11279296875,520.3626708984375,0,385.6405944824219,405.2722473144531,475.0279235839844,493.6661071777344,524.3394165039062,540.70654296875,360.2647399902344
1929,444.852783203125,519.8746948242188,0,284.2508850097656,342.4488525390625,418.4122619628906,463.06744384765625,488.83917236328125,305.1406555175781,404.0960693359375
1930,409.5153503417969,464.6262512207031,0,427.65765380859375,322.3121337890625,393.7295837402344,478.91082763671875,517.4589233398438,457.2358703613281,357.02862548828125
1931,413.769287109375,389.3691101074219,0,247.3332061767578,290.1467590332031,275.7060852050781,348.27813720703125,416.97271728515625,288.5274963378906,275.4595642089844
1932,-999,539.105712890625,0,459.783935546875,403.59844970703125,-999,487.094482421875,567.9575805664062,312.221435546875,276.8779602050781
1933,-999,529.5198974609375,0,485.8424987792969,381.6016540527344,-999,505.9560546875,626.4164428710938,549.472412109375,383.0231628417969
1934,-999,433.074462890625,0,411.6641845703125,374.8520202636719,-999,466.1716613769531,554.377197265625,458.9373779296875,370.4374084472656
1935,-999,459.5698547363281,0,412.0020751953125,467.9842224121094,-999,486.447021484375,580.7520751953125,569.1156616210938,389.7522888183594
1936,-999,512.5927734375,0,323.0139465332031,403.8723449707031,465.5652160644531,497.69024658203125,537.0130615234375,534.7384033203125,406.46307373046875
1937,-999,496.4975891113281,0,350.0041198730469,329.9520263671875,511.09765625,472.8897399902344,600.469482421875,461.9382629394531,381.0217590332031
1938,422.3897705078125,488.12713623046875,0,439.16766357421875,472.6453857421875,530.9697875976562,495.2148132324219,547.015625,465.2321472167969,354.1705627441406
1939,539.3748168945312,538.8317260742188,0,476.14337158203125,454.9586181640625,524.6972045898438,525.4097290039062,602.954345703125,543.5017700195312,387.0269470214844
1940,411.01953125,535.674072265625,0,480.9159851074219,427.4809875488281,501.891357421875,565.4275512695312,558.09326171875,604.2698364257812,431.21759033203125
1941,442.7395935058594,522.8524780273438,676.700439453125,401.99139404296875,456.3636779785156,522.7967529296875,564.9291381835938,461.86212158203125,457.5721130371094,517.0148315429688
1942,410.6033020019531,585.1233520507812,635.611328125,438.7969970703125,489.9081115722656,522.3023681640625,593.502197265625,438.3467712402344,502.8338317871094,522.301513671875
1943,475.8282775878906,567.1800537109375,458.4768981933594,387.7137145996094,492.8981628417969,519.55908203125,571.5962524414062,496.19061279296875,469.5559387207031,497.01959228515625
1944,317.0304870605469,449.1178894042969,260.2886047363281,354.4759521484375,359.1602478027344,408.5738525390625,504.5328369140625,459.1597595214844,334.2762756347656,355.11566162109375
1945,486.9418640136719,502.2121887207031,390.78668212890625,384.7109375,415.0583801269531,491.80419921875,532.935546875,489.19500732421875,445.3681335449219,429.0935363769531
1946,428.7376403808594,500.31964111328125,-999,401.06005859375,404.90228271484375,504.8798522949219,520.3644409179688,498.5187683105469,458.8836975097656,504.92315673828125
1947,312.4253234863281,399.3982238769531,-999,364.53082275390625,332.0740661621094,404.3188781738281,465.7657165527344,326.1072692871094,375.0809326171875,271.87811279296875
1948,62.624656677246094,430.65753173828125,102.90428924560547,412.6435852050781,473.7604064941406,492.09027099609375,549.3380737304688,513.048095703125,475.5894470214844,332.7682189941406
1949,485.0196838378906,405.68218994140625,-999,380.0573425292969,375.4747009277344,430.3192138671875,442.3344421386719,385.397216796875,376.6062927246094,272.8456726074219
1950,390.60174560546875,452.3917236328125,-999,406.68280029296875,357.0909729003906,466.6019287109375,457.4542236328125,439.4820861816406,334.8323669433594,321.2320556640625
1951,459.8238220214844,455.0717468261719,-999,418.7177429199219,407.6812744140625,442.39630126953125,472.1876220703125,420.3375549316406,374.5362854003906,329.3358154296875
1952,397.4352111816406,417.7213134765625,116.04426574707031,365.9341735839844,425.023193359375,394.6233825683594,434.3668212890625,456.0475769042969,349.858642578125,349.0380554199219
1953,568.6961669921875,485.0889587402344,526.3363647460938,372.8283386230469,501.6517028808594,515.5476684570312,484.0417785644531,472.4984130859375,511.0004577636719,441.7621154785156
1954,96.44541931152344,468.8882141113281,-999,335.935302734375,369.75213623046875,411.44757080078125,447.1893005371094,428.3824157714844,333.34100341796875,327.8487854003906
1955,364.0093994140625,383.4725646972656,-999,263.76104736328125,386.0450134277344,0,447.5904235839844,339.9610595703125,482.200439453125,301.9060363769531
1956,161.10984802246094,433.16302490234375,-999,361.8856201171875,427.9651794433594,0,445.4339904785156,379.1533203125,446.96826171875,263.380859375
1957,547.0999755859375,406.3528747558594,-999,397.23541259765625,395.0888671875,0,475.44390869140625,438.21697998046875,513.9673461914062,333.4496154785156
1958,402.29022216796875,417.3022155761719,390.53948974609375,351.70135498046875,330.1694030761719,0,321.603515625,352.6814270019531,346.22283935546875,302.7138671875
1959,509.0425109863281,550.4449462890625,-999,361.77935791015625,407.0356140136719,0,445.4399108886719,463.0621032714844,420.914306640625,369.5447998046875
1960,446.88909912109375,472.3356628417969,-999,369.5268859863281,453.329833984375,0,473.55047607421875,514.6024169921875,641.5941162109375,386.8407897949219
1961,437.4118957519531,481.8896789550781,-999,343.2775573730469,405.7088623046875,0,422.9822998046875,476.8800964355469,529.4127807617188,350.89495849609375
1962,544.67333984375,545.8013916015625,-999,369.0998229980469,381.1448974609375,0,429.12139892578125,463.2091369628906,298.6492919921875,340.83087158203125
1963,397.8340759277344,436.0514831542969,-999,331.497314453125,295.5680847167969,0,453.823974609375,456.623046875,339.7629699707031,297.8167419433594
1964,386.6170959472656,446.8559265136719,425.54437255859375,324.57763671875,481.5959777832031,0,447.0275573730469,455.9347839355469,368.2976989746094,361.7042541503906
1965,408.61126708984375,407.3576965332031,-999,224.30398559570312,442.3084716796875,0,391.4032897949219,452.16375732421875,334.7508239746094,352.6048278808594
1966,474.24652099609375,549.01416015625,579.2169189453125,306.7020263671875,455.85699462890625,0,481.55303955078125,509.7237548828125,424.1840515136719,411.6954345703125
1967,463.2582092285156,532.8294677734375,315.15863037109375,269.9748840332031,410.35955810546875,0,428.5224304199219,465.7215881347656,420.7696838378906,382.2628173828125
1968,327.6231384277344,428.70147705078125,600.4012451171875,269.2362976074219,337.0908203125,0,393.12579345703125,440.65338134765625,332.49322509765625,327.8152160644531
1969,471.1360778808594,443.048583984375,321.49652099609375,356.63433837890625,438.2663879394531,0,450.6222229003906,438.0092468261719,420.2586975097656,376.6649169921875
1970,435.75384521484375,389.3470764160156,353.0697937011719,286.6975402832031,383.2098388671875,0,386.85833740234375,466.051025390625,396.183349609375,392.2040100097656
1971,264.0411071777344,329.5188903808594,288.1542663574219,207.8099365234375,346.4247741699219,0,304.36328125,370.0399475097656,321.40411376953125,269.5188903808594
1972,399.0381164550781,222.70106506347656,-999,186.51669311523438,390.4343566894531,0,398.8840026855469,466.8521728515625,336.8604736328125,311.0732727050781
1973,395.6246032714844,453.43115234375,372.439697265625,258.4344177246094,381.90435791015625,0,289.5807189941406,365.69256591796875,315.63873291015625,266.91552734375
1974,223.6070556640625,308.8365783691406,341.8384704589844,253.9759063720703,432.0670166015625,0,239.3003692626953,334.36846923828125,252.8685302734375,234.03347778320312
1975,343.98455810546875,444.47119140625,525.1849365234375,272.7211608886719,453.1300354003906,0,369.64398193359375,458.3836975097656,347.4312438964844,338.34283447265625
1976,398.6423645019531,453.3792724609375,356.5628662109375,256.60260009765625,392.3945617675781,0,351.1374206542969,484.57989501953125,372.13421630859375,352.3515319824219
1977,254.03419494628906,276.02734375,355.791015625,200.1354217529297,275.8930358886719,0,275.75982666015625,332.03057861328125,292.28887939453125,271.5114440917969
1978,319.76617431640625,436.3038024902344,408.0701904296875,218.66168212890625,339.3210754394531,0,348.044677734375,412.175537109375,429.3182373046875,293.425048828125
1979,510.5218811035156,422.8769226074219,254.5092010498047,232.01612854003906,387.3260498046875,0,372.5997009277344,435.9122009277344,413.68804931640625,390.1844482421875
1980,321.8104553222656,453.51873779296875,278.0716247558594,204.41671752929688,281.9969482421875,0,190.0093994140625,197.1623077392578,367.266845703125,292.6524353027344
1981,439.7647399902344,504.9342346191406,398.4104309082031,243.10992431640625,384.9124450683594,0,379.3536682128906,354.8551330566406,442.9059753417969,337.9371032714844
1982,462.138671875,450.63592529296875,367.2807312011719,277.2924499511719,403.5832214355469,0,390.7068176269531,461.8407897949219,472.59722900390625,369.1651611328125
1983,484.5855407714844,469.141357421875,307.0378112792969,240.1748504638672,399.21246337890625,0,362.65606689453125,430.6407165527344,339.4562683105469,399.8998107910156
1984,505.7016906738281,497.9449462890625,390.7309875488281,260.28717041015625,413.5000305175781,0,377.3172607421875,437.31219482421875,382.1474609375,391.57147216796875
1985,337.0913391113281,442.7503662109375,187.77537536621094,251.49234008789062,235.845947265625,0,211.02334594726562,342.2599182128906,262.8428649902344,316.1546325683594
1986,489.6374206542969,480.35589599609375,406.8706970214844,281.1445007324219,421.0331726074219,0,344.8426513671875,446.1961669921875,372.2483215332031,375.2496032714844
1987,413.828369140625,447.9029235839844,352.5801086425781,194.91729736328125,404.4089660644531,0,253.52879333496094,419.7335510253906,361.56317138671875,390.2384338378906
