year,MinRWKHA_03_,MinRWKHA_06_,MinRWKHA_09_,MinRWKHA_12_,MinRWKHA_14_,MinRWKHA_15_,MinRWKHA_16_,MinRWKHA_17_,MinRWKHA_19_,MinRWKHA_20_
1862,492,436.2890625,244.4140625,579.03125,375.1953125,178.1015625,442.203125,710.8046875,512.9296875,478.78125
1863,335.5234375,257.28125,299.1875,567.0546875,399.1328125,215.6875,507.8046875,708.875,590.546875,461.984375
1864,406.1015625,372.6015625,335.0703125,652.5390625,460.875,203.3203125,0,619.703125,599.9453125,388.703125
1865,652,359.2734375,354.4453125,802.1015625,571.765625,307.5703125,802.7734375,755.9609375,623.390625,551.2109375
1866,123.8359375,108.21875,55.25,285.078125,110.65625,58.8359375,139.65625,213.6484375,94.390625,178.9375
1867,198.0625,59.9921875,76.890625,359.359375,153.65625,135.6875,207.8203125,338.046875,152.5546875,160.875
1868,697.484375,359.84375,325.2890625,700.8359375,446.734375,374.0078125,613.5859375,643.1171875,505.984375,488.0546875
1869,137.4921875,85.296875,-14.2421875,182.6640625,43.203125,0,129.0703125,186.0546875,35.75,68.6171875
1870,389.859375,118.484375,119.84375,153.3984375,76.1640625,337.671875,200.71875,215.1953125,141.703125,129.53125
1871,653.2578125,229.4140625,125.7890625,402.34375,143.15625,332.7109375,313.40625,389.453125,253.328125,213.953125
1872,713.9609375,321.3984375,155.9375,513.2734375,191.6015625,459.5390625,446.4375,736.4453125,339.3203125,318.3515625
1873,171.859375,146.3203125,71.6953125,281.984375,92.796875,101.2890625,144.125,344.1875,97.1953125,104.7578125
1874,110.8125,121.5546875,-8.5078125,295.4296875,19.5859375,92.546875,165.359375,279.0234375,69.9765625,109.984375
1875,491.0859375,233.859375,164.4375,594.0390625,54.9765625,419.7265625,322.296875,469.75,274.7578125,270.546875
1876,260.4609375,173.25,57.4609375,386.421875,72.1484375,120.171875,198.421875,392.5859375,142.0625,170.609375
1877,627.6328125,344.34375,183.8515625,858.4453125,271.6796875,373.25,473.46875,779.5859375,390.6953125,434.1015625
1878,374.7265625,304.6640625,167.515625,675.6015625,324.03125,658.8515625,523.921875,960.53125,565.265625,459.265625
1879,831.4765625,392.546875,109.3984375,701.2734375,276.984375,604.8828125,495.578125,780.9453125,491.6015625,401.796875
1880,876.078125,344.8359375,136.703125,786.3828125,192.515625,715.5234375,556.109375,772.90625,486.5078125,415.953125
1881,710.4609375,225.8828125,99.0234375,654.7421875,106.65625,226.9765625,356.3125,507.890625,280.296875,306.25
1882,696.25,212.6328125,202.7109375,704.3515625,152.3046875,261.984375,339.453125,481.265625,232.65625,297.0625
1883,728.8984375,262.140625,204.234375,833.671875,215.6484375,469.921875,485.78125,819.0078125,443.546875,348.296875
1884,213.0546875,66.7421875,47.7578125,292.921875,-4.3359375,78.3046875,90.53125,336.2265625,94.7734375,78.1640625
1885,156.6015625,20.265625,-4.7890625,0,-7.6875,57.046875,99.046875,384.171875,39.40625,61.4296875
1886,273.0234375,180.5703125,113.6328125,0,117.9609375,232.71875,213.46875,577.53125,141.3359375,162.671875
1887,441.875,231.625,170.9375,0,205.2734375,440.6328125,430.171875,858.3515625,234.1328125,322.6484375
1888,436.7265625,140.5859375,202.109375,0,160.5859375,345.609375,316.8515625,957.40625,229.34375,295.5859375
1889,267.703125,77.7890625,0,0,110.109375,222.6796875,128.1171875,501.3125,109.8203125,247.546875
1890,290.4375,149.9140625,0,0,81.0703125,336.9296875,250.171875,547.8203125,182.71875,303.734375
1891,683.765625,381.875,0,0,313.5,715.171875,533.9453125,964.6015625,447.765625,583.6171875
1892,626.2265625,461.5,0,0,376.15625,715.328125,596.8828125,1070.703125,409.71875,755.4375
1893,496.3515625,382.5234375,0,0,219.296875,624.4921875,538.890625,683.875,328.421875,330.703125
1894,643.5390625,405.3125,0,0,357.1953125,661.484375,806.6171875,856.8125,466.7734375,382.890625
1895,355.65625,354.9921875,0,0,177.609375,77.421875,446.0703125,666.9375,224.4375,188.8125
1896,607.015625,419.1015625,0,0,264.9140625,656.7890625,727.671875,1028.484375,842.8828125,368.6875
1897,614.6484375,461.546875,0,0,357.3515625,734.25,651.53125,1308.2890625,915.125,294.359375
1898,264.578125,290.859375,0,0,55.8828125,261.5390625,249.71875,587.9921875,347.4921875,105.6484375
1899,206.453125,177.6640625,0,0,77.7109375,109.8984375,285.4609375,595.8203125,258.96875,82.5546875
1900,280.53125,113.625,0,0,133.2890625,243.828125,175.75,167.9140625,206.421875,101.6328125
1901,402.453125,282.46875,0,0,108.546875,336.0859375,415.421875,431.921875,414.515625,250.6171875
1902,414.28125,269.625,0,0,104.609375,645.265625,400.828125,467.984375,409.65625,213.9765625
1903,388,242.25,0,0,100.109375,357.9375,381.7265625,401.765625,265.0546875,143.140625
1904,367.4765625,234.7421875,0,0,78.6640625,521.6953125,376.40625,310.9921875,349.5,85.7578125
1905,274.4609375,117.5390625,0,263.5234375,64.7421875,187.078125,205.8828125,218.5390625,235.1328125,63.7109375
1906,233.4921875,167.046875,0,176.0625,120.15625,225.28125,249.109375,336.2265625,257.9296875,143.8046875
1907,356.2109375,163.9453125,0,249.3046875,109.9296875,309.9609375,198.859375,331.8046875,236.9453125,135.65625
1908,703.921875,409.2890625,0,491.921875,347.46875,549.3046875,450.859375,688.703125,950.2578125,294.4296875
1909,488.3359375,80.453125,0,94.9609375,174.53125,143.9765625,138.515625,685.515625,357.3515625,213.03125
1910,273.03125,260.5546875,0,86.140625,196.84375,418.4140625,179.6953125,656.6328125,211.5859375,154.2734375
1911,353.359375,256.78125,0,183.5703125,117.4296875,465.1171875,140.0234375,542.375,146.078125,104.7265625
1912,99.6484375,67.1875,0,56.515625,45.7421875,60.8125,31.40625,310.328125,42.984375,112.2734375
1913,209.75,144.546875,0,110.0234375,69.421875,200.109375,102.5078125,291.5,104.109375,233.8828125
1914,808.5078125,392.484375,0,230.5546875,274,644.078125,389.109375,616.84375,393.84375,223.2578125
1915,480.078125,407.5546875,0,107.953125,277.8828125,286.21875,272.7109375,589.0859375,293.640625,284.875
1916,606.34375,388.65625,0,296.2734375,394.265625,434.6875,330.0859375,731.96875,297.7734375,314.75
1917,354.015625,311.6328125,0,212.453125,332.765625,452.1796875,315.0390625,705.7265625,141.2109375,250.1484375
1918,499.7890625,431.875,0,318.6640625,464.5703125,404.546875,352.9296875,712.59375,220.484375,258.59375
1919,404.9453125,347.1796875,0,285.8828125,323.4765625,436.1484375,336.265625,700.53125,254.421875,229.390625
1920,652.703125,363.28125,0,333.875,389.109375,502.8046875,463.5859375,762.796875,322.390625,266.484375
1921,276.1953125,271.40625,0,270.59375,338.5,451.7890625,341.3984375,459.2890625,115.6328125,143.6328125
1922,441.3515625,341.2578125,0,467.25,557.3671875,459.1484375,447.84375,570.1484375,257.328125,184.765625
1923,575.59375,316.6953125,0,432.8515625,474.1171875,409.9140625,329.90625,598.3984375,223.0625,257.2421875
1924,605.25,335.96875,0,381.2421875,637.1484375,403.765625,353.4375,713.421875,297.3515625,285.7265625
1925,341.9296875,167.0078125,0,312.6484375,349.125,316.9375,171.4375,436.2578125,157.5625,129.5234375
1926,412.375,310.7734375,0,406.4140625,490.2890625,382.1328125,457.359375,884.65625,330.59375,241.234375
1927,233.296875,182.421875,0,261.234375,234.3671875,177.3984375,149.1875,435.015625,156.3671875,114.8828125
1928,466.7265625,354.9609375,0,344.8046875,474.5078125,489.8515625,536,744.3125,397.8515625,212.6015625
1929,599.25,251.6015625,0,323.609375,335.4609375,534,387.953125,411.6015625,335.8671875,265.3046875
1930,470.2109375,285.9453125,0,504.9140625,381.09375,650.8515625,507.34375,525.8671875,375.15625,275.015625
1931,191.609375,194.0859375,0,124.265625,131.3828125,85.34375,123.609375,265.671875,133.3125,107.9921875
1932,206.5703125,276.6640625,0,436.9609375,353.7890625,417.9296875,327.1796875,482.796875,294.9140625,139.6953125
1933,569.203125,287.765625,0,471.28125,283.4765625,381.1875,368.25,581.0859375,336.6953125,268.7265625
1934,444.3671875,278.9375,0,502.8671875,327.484375,177.2421875,288.5390625,619.3203125,306.1484375,183.03125
1935,510.3359375,245.3671875,0,348.3984375,352.3203125,287.1484375,425.7578125,848.2578125,509.7734375,195.6484375
1936,593.5625,326.609375,0,319.3984375,678.78125,689.046875,513.78125,1102.375,607.671875,232.421875
1937,406.296875,298.7734375,0,302.6796875,373.7421875,300.2578125,385.640625,939.2421875,379.296875,213.9296875
1938,251.2265625,308.03125,0,406.6328125,562.546875,381.28125,494.4765625,928.75,325.2734375,183.4453125
1939,526.5,359.3671875,0,404.90625,448.6796875,688.5546875,608.3046875,1022.8515625,635.578125,342.40625
1940,455.859375,382.8515625,0,485.8203125,396.6875,466.65625,610.84375,933.125,608.515625,282.1171875
1941,724.7734375,468.125,91.71875,387.5859375,544.5234375,634.7109375,725.046875,357.09375,1742.375,436.59375
1942,408.078125,308.109375,208.2734375,404.703125,313.4296875,390.7890625,669.0546875,1106.0703125,1623.71875,257.6015625
1943,738.171875,366.875,233.8515625,468.65625,374.1015625,523.7890625,552.7890625,1214.8359375,1037.375,412.828125
1944,538.890625,296.5625,92.2890625,379.0859375,344.59375,343.5625,345.9296875,830.8046875,430.4453125,221.875
1945,654.1171875,438.484375,211.6640625,552.3828125,458.578125,690.625,601.8359375,1176.2109375,497.8515625,348.2578125
1946,440.8984375,307.671875,193.171875,486.671875,407.3125,557.9921875,428.03125,669.1328125,526.40625,257.71875
1947,137.8671875,83.3125,-0.5859375,291.3359375,47.734375,104.390625,185.59375,155.96875,172.5,55.21875
1948,497.5546875,285.109375,175.3828125,579.015625,424.546875,619.6484375,594.6640625,848.875,497.7265625,148.4921875
1949,140.6328125,63.65625,38.1015625,411.6171875,152.9765625,466.5703125,302.2890625,262.921875,276.0625,70.7265625
1950,270.6484375,164.859375,45.734375,480.96875,205.65625,364.7734375,286.9296875,436.4765625,161.8046875,128.2421875
1951,256.3203125,221.8828125,57.2109375,684.9453125,391.8515625,457.2265625,352.3828125,385.5546875,277.9453125,121.3515625
1952,289.234375,233.3828125,119.7265625,373.6796875,185.4375,224.171875,281.640625,402.0859375,197.2109375,135.703125
1953,441.671875,301.2578125,176.09375,651.1640625,421.6796875,613.328125,540.640625,731.140625,457.2734375,155.671875
1954,235.140625,212.03125,65.3359375,116.515625,117.4453125,202.984375,245.3359375,425.0625,213.21875,79.109375
1955,195.8515625,125.96875,142.875,120.78125,142.5703125,0,365.9140625,456.7109375,354.7734375,51.0078125
1956,172.90625,113.265625,101.8984375,330.0625,109.4140625,0,310.734375,312.453125,401.5546875,70.921875
1957,221.3359375,151.1875,160.0234375,370.6484375,165.625,0,312.15625,345.265625,455.171875,98.96875
1958,212.140625,107.4921875,142.609375,323.625,134.9609375,0,149.8828125,226.8359375,603.0859375,66.671875
1959,212.9921875,199.7734375,158.328125,220.375,166.0546875,0,361.3046875,380.3203125,500.875,118.0078125
1960,279.6484375,110.9765625,109.09375,242.484375,277.7265625,0,222.4140625,522.4375,486.6484375,113.6171875
1961,237.2265625,133.0625,97.125,254.09375,185.8203125,0,241.734375,569.375,419.3671875,60.5625
1962,251.34375,169.75,33.984375,235.8125,181.78125,0,181.1015625,433.265625,227.2734375,90.171875
