year,MLAKHA_03_,MLAKHA_06_,MLAKHA_09_,MLAKHA_12_,MLAKHA_14_,MLAKHA_15_,MLAKHA_16_,MLAKHA_17_,MLAKHA_19_,MLAKHA_20_
1804,236.06703186035156,364.67120361328125,475.7005615234375,377.1042785644531,397.5567626953125,365.0496520996094,0,0,261.162841796875,274.89776611328125
1805,315.3323974609375,398.6392517089844,475.8927307128906,405.13592529296875,497.9947509765625,466.2024841308594,0,0,287.1445007324219,323.18310546875
1806,249.47723388671875,413.313232421875,533.7943115234375,427.6661071777344,509.46002197265625,370.28778076171875,0,0,275.6761169433594,280.26495361328125
1807,195.0802764892578,263.46270751953125,229.13165283203125,383.4090881347656,320.3642578125,398.7999572753906,0,0,280.2869567871094,242.56228637695312
1808,233.93519592285156,379.38818359375,524.2437744140625,353.8745422363281,424.73809814453125,404.33306884765625,0,0,312.5184631347656,246.51321411132812
1809,259.32781982421875,422.5470886230469,381.221435546875,403.798828125,342.6186828613281,180.97813415527344,0,0,262.7829284667969,278.184326171875
1810,265.2499084472656,307.1448669433594,440.39398193359375,338.7313232421875,373.4931335449219,352.9779968261719,0,0,201.84811401367188,239.51539611816406
1811,259.4721984863281,370.6386413574219,608.2885131835938,283.0144958496094,385.7041931152344,419.0778503417969,269.4617614746094,0,229.8371124267578,259.031982421875
1812,257.1938781738281,343.7458801269531,278.2118835449219,300.7840576171875,255.6873779296875,66.16819763183594,500.8575134277344,0,280.8243408203125,248.1779327392578
1813,324.7386474609375,500.4493713378906,353.0522155761719,341.5452575683594,335.1968994140625,354.3432922363281,624.494873046875,0,314.22418212890625,328.66046142578125
1814,349.917236328125,449.7955322265625,528.4231567382812,333.910888671875,396.38641357421875,373.1138000488281,575.2697143554688,0,268.4777526855469,286.7060546875
1815,288.7093505859375,367.163818359375,381.81280517578125,257.36376953125,378.016357421875,325.85357666015625,515.19384765625,0,265.02734375,312.6993713378906
1816,264.9678649902344,366.6806335449219,375.2508239746094,241.03067016601562,312.0767822265625,458.0606689453125,453.99078369140625,0,238.2727813720703,227.07650756835938
1817,288.2548522949219,440.31890869140625,443.8091125488281,233.0888671875,372.0242004394531,368.3572082519531,414.1523742675781,0,238.5648956298828,270.8252258300781
1818,300.298828125,370.5373840332031,489.2619323730469,318.05792236328125,426.5972900390625,328.8177185058594,571.3757934570312,0,256.17626953125,218.22018432617188
1819,252.25779724121094,350.9444885253906,367.87286376953125,493.0361022949219,178.05006408691406,456.7892150878906,457.2022705078125,0,190.12889099121094,153.18618774414062
1820,306.9516296386719,395.8529052734375,426.8846435546875,277.71337890625,247.80697631835938,188.5647430419922,589.0532836914062,0,257.4231872558594,267.2034912109375
1821,301.7237548828125,398.9463195800781,514.2022094726562,438.6204833984375,376.2057189941406,577.1962280273438,606.1613159179688,0,248.0913848876953,267.8287658691406
1822,398.21112060546875,438.5010681152344,474.2803039550781,456.85943603515625,357.83935546875,579.30908203125,536.8475952148438,0,230.40476989746094,243.05776977539062
1823,313.7496032714844,332.2283935546875,322.012451171875,341.27911376953125,143.41244506835938,283.6675720214844,517.7830810546875,0,187.0997314453125,207.53463745117188
1824,343.99676513671875,385.9452209472656,374.89556884765625,316.6158447265625,311.36517333984375,159.5773468017578,232.7860565185547,0,236.35321044921875,268.5403747558594
1825,220.36395263671875,393.8411865234375,0,253.0561065673828,177.30348205566406,263.7973937988281,320.0326232910156,0,212.16067504882812,136.3271026611328
1826,368.85595703125,456.3992004394531,363.7640075683594,413.6716003417969,264.61285400390625,211.9845733642578,570.5911254882812,0,225.83444213867188,269.8829345703125
1827,466.4006042480469,490.5083923339844,515.3234252929688,371.4774475097656,356.06195068359375,322.1656799316406,515.8755493164062,0,226.29000854492188,327.9305725097656
