year,RAKHA_03_,RAKHA_06_,RAKHA_09_,RAKHA_12_,RAKHA_14_,RAKHA_15_,RAKHA_16_,RAKHA_17_,RAKHA_19_,RAKHA_20_
1863,1.362197130443647,1.0208173619883922,1.1579957756939052,2.110211317669382,1.498996822860292,0.8979363031058512,2.225132628261079,2.601086215419244,2.202055077273158,1.7714261746584867
1864,1.538812059542252,1.430216469348494,1.329530778826637,2.4963909429433926,1.8099435447495722,0.8126071717099137,0,2.2982992540837586,2.259753963184707,1.556350091337535
1865,2.47042454756442,1.3922081550766308,1.3372460471448875,3.0754444016511258,2.1371395619974862,1.186771989455039,3.237046001612214,2.80907872808649,2.3210843509653074,2.130467715765022
1866,0.7184359848776865,0.4631877903057955,0.30169492956952126,1.167171552420811,0.4539485242408432,0.28764154108860396,0.6720566125115823,0.8619227546920882,0.39870041525507816,0.7258167196784626
1867,0.8945632213470702,0.28265829886674965,0.323613977627943,1.414158656544501,0.6326383531048521,0.5613579817155454,0.8857502777041617,1.2566761554554091,0.5824177158328183,0.6618312650135891
1868,2.8077175546405613,1.3776518640378725,1.250990067439119,2.6956765483868423,1.696605862386889,1.445112620371546,2.3667684240308233,2.36924650956837,1.9104605212670407,1.896413184071534
1869,0.7533664137777407,0.3796465615785962,0.006922063284903857,0.8189154969269623,0.2644247649146081,0,0.6737087632974834,0.7873296358798001,0.21300907725562013,0.31311628315576456
1870,1.5642307594117284,0.5332649801034677,0.5205080811731193,0.6884222891208509,0.3578719095115588,1.8233023620299917,0.8582635040717719,0.8559546034217647,0.6312622359485829,0.5579419024309686
1871,2.5470081942034426,0.9093256194419297,0.5945757680545398,1.5655597868315283,0.6097864587011799,1.3211196585282892,1.2088294989725341,1.4610104438612268,1.0006212538235388,0.8311783590166328
1872,2.680039579663813,1.2781039102188458,0.7234321830225383,1.9115800426929468,0.770949397770238,1.7327441763973184,1.7870140359854219,2.706649319611799,1.2898380960264575,1.2219908416806078
1873,0.7209937246652487,0.5946780361066288,0.3288127452460401,1.1335263970681808,0.3885362202310034,0.45302300019585573,0.6989852457108441,1.3651515131564764,0.4187934777219624,0.4592430635391338
1874,0.5191684594653765,0.5497442524549143,0.01253089866612811,1.1574381451354725,0.13525317891769362,0.4112402402111144,0.6941389000405565,1.036629777004677,0.30556234898905643,0.4593353350640541
1875,1.8606892404063728,0.9419733683223939,0.6789733328188277,2.2288173326677736,0.26289871722528346,1.603629584507516,1.2718904555483732,1.7530426898744764,1.075748087405188,1.0341661293232534
1876,1.1303233085897517,0.6885621597145217,0.302739672756303,1.4547884620475173,0.36754661761733587,0.7140292943820441,0.7750958207752774,1.4697195743062395,0.5748138267657055,0.6868002837678375
1877,2.482126751831018,1.3065224495257581,0.7684289307169934,3.142096506442826,1.0397294924955531,1.5534638707960795,1.7705972775195704,2.8379853225932408,1.5344346397670705,1.6404273832956164
1878,1.5779810694909884,1.4650524975687915,0.7578417003652334,2.5953446256618804,1.2537466302479316,2.427078937633837,2.033602169852827,3.5316348714903114,2.0766369072462822,1.7058889836576867
1879,3.0103700439965024,1.5228403162146549,0.6731997954329785,2.572211253993075,1.0409732115367518,2.24766058802507,1.983163548179192,2.884935768478371,1.8612604820617378,1.6031243201441328
1880,3.407224200940348,1.3877677712809628,0.633304848715369,2.9122014184339378,0.7547251354046267,2.8554646945857627,2.1330982243765106,2.940284456462237,1.8933429330715654,1.662280935768564
1881,2.6413001614212845,0.9147849615234662,0.4068771094530206,2.4964425740515424,0.4540807228189294,0.9851223889358351,1.4314284060351952,1.896952184586084,1.0844557374177697,1.208703274700298
1882,2.7039715340971213,0.864116576723589,0.8948280007340088,2.6602435232270807,0.5873659402847409,1.0506745382352136,1.3278793868695402,1.8316228722528933,0.9400394135276287,1.1568322015023398
1883,2.6497906248303877,1.0163166554288807,0.914276747862317,3.318064254838987,0.8570635050346311,1.9182198723926263,1.8324991088633311,3.0639509978134782,1.6892197017328954,1.3319393532795942
1884,0.8311683322684615,0.34364787845272815,0.2409360108955667,1.1618305292982853,0.029295953071823533,0.45764955519503303,0.47155910729034645,1.3571597298745388,0.4190801686325898,0.38528748497517995
1885,0.6228290402923591,0.1312455600638316,0.11199163596106132,0,0.051335568871436976,0.2397460851149873,0.43719884825418376,1.4456476021954217,0.2306287211050062,0.29175229651076506
1886,1.0194747987007275,0.7383328325396548,0.45790790346514143,0,0.4872993451002401,0.9593195693753103,0.8924457338147391,2.1810672064714254,0.615458037492445,0.6440508810408829
1887,1.6456171438479856,0.9010325629604239,0.7074385894866282,0,0.8184261146122083,1.7461329965212826,1.7010936286771141,3.195637658493851,0.8963400704390523,1.241250971457518
1888,1.724412370489972,0.5615179298769704,1.118599852120596,0,0.6984770676715613,1.4405533815045715,1.303842980657521,3.572071555942344,0.8772399026054529,1.1829543816487131
1889,1.0376449618850216,0.3392159896030478,0,0,0.4683932525641268,0.9883917584256352,0.5722413696918522,1.8978392694646544,0.4949016365848422,0.9510719320107341
1890,1.1351067972963165,0.6307461604201734,0,0,0.4062107282848757,1.2666154233689468,1.0598931069374942,2.0883544354552015,0.7168295910923632,1.1617576826903786
1891,2.550216723368564,1.444162470295879,0,0,1.2351722105210854,2.6251726974202967,2.055607914521147,3.56212993125763,1.6560952246885563,2.2138773846566124
1892,2.2941432837483973,1.761334952676492,0,0,1.4402958010688423,2.6291744540282167,2.4014763623818567,3.923354925627322,1.8066465249586656,2.811087752524358
1893,1.8450023469459609,1.502009405881111,0,0,0.8624817432752252,2.2577427602842306,2.1171727101786644,2.51152116773477,1.2942387152389472,1.351889864773952
1894,2.439640364713995,1.5864368331745737,0,0,1.390529056108548,2.4410192965100066,2.99497252771296,3.245184783801733,2.4384281108705466,1.476514410774115
1895,1.323396469720734,1.3275704942277287,0,0,0.7012871447623468,0.4718932230034909,1.6629363364956617,2.527421024816377,1.4178276617793841,0.9146716627880664
1896,2.2700391206201544,1.5477165300177944,0,0,1.0124987172818862,2.4501158548157065,2.738770337685949,3.793754295576278,3.3612932419557637,1.4487983537219549
1897,2.2567942667219256,1.7219485009945856,0,0,1.4396551295349127,2.8191956471076054,2.4896063340194416,4.746092597591115,3.5861145628326057,1.1720087595662392
