year,DhKHA_03_,DhKHA_06_,DhKHA_09_,DhKHA_12_,DhKHA_14_,DhKHA_15_,DhKHA_16_,DhKHA_17_,DhKHA_19_,DhKHA_20_
1875,34.13230514526367,32.43387222290039,33.574764251708984,31.777057647705078,28.86164093017578,33.76777267456055,29.05268669128418,30.182178497314453,32.43278121948242,32.45423126220703
1876,33.56008529663086,35.52314376831055,29.399282455444336,30.14754867553711,30.7202091217041,34.299930572509766,29.009912490844727,28.10066032409668,33.63681411743164,32.25738525390625
1877,36.23365783691406,34.3380012512207,32.80312728881836,30.3049259185791,31.195199966430664,33.191627502441406,29.959911346435547,29.11290740966797,33.15843200683594,34.69052505493164
1878,14.946754455566406,31.304773330688477,34.79059600830078,29.15235710144043,31.98111343383789,33.44186782836914,29.586875915527344,27.612960815429688,33.85010528564453,33.16112518310547
1879,34.721107482910156,33.886497497558594,35.457557678222656,30.678787231445312,31.717227935791016,34.733577728271484,30.678264617919922,29.958112716674805,34.4765739440918,31.41093635559082
1880,34.19863510131836,32.18231964111328,35.10029220581055,32.09783935546875,30.51918601989746,32.84054183959961,31.555940628051758,30.74492645263672,33.99715042114258,29.182981491088867
1881,30.191627502441406,33.23564529418945,33.38825988769531,32.931941986083984,30.074169158935547,30.137142181396484,28.542861938476562,29.50687599182129,35.76283264160156,25.56578826904297
1882,29.07701301574707,29.42214012145996,35.36558151245117,29.67583465576172,30.803556442260742,32.55690383911133,29.398012161254883,29.877208709716797,35.21699905395508,26.514984130859375
1883,28.545896530151367,31.412939071655273,33.15892791748047,33.060977935791016,31.206205368041992,29.223228454589844,29.116601943969727,30.38432502746582,36.34183883666992,26.092052459716797
1884,33.474979400634766,31.117029190063477,30.44222640991211,31.083093643188477,20.872774124145508,31.935317993164062,26.662607192993164,29.973176956176758,33.202301025390625,27.542387008666992
1885,29.44961166381836,25.46154022216797,22.191261291503906,0,19.042814254760742,29.003782272338867,28.795392990112305,28.859148025512695,31.26127052307129,28.183551788330078
1886,30.086551666259766,29.935195922851562,32.55913543701172,0,28.27931785583496,34.04921340942383,29.04571533203125,28.562252044677734,33.92277145385742,28.389667510986328
1887,32.57582092285156,30.939666748046875,33.334503173828125,0,29.588403701782227,33.13802719116211,28.78292465209961,27.156051635742188,34.8954963684082,28.117929458618164
1888,33.78574752807617,28.804670333862305,31.062366485595703,0,29.69578742980957,33.0870246887207,29.434917449951172,29.836181640625,33.07849884033203,26.112071990966797
1889,34.61265563964844,31.99683952331543,0,0,30.87955665588379,30.379396438598633,29.593849182128906,30.55971908569336,34.487239837646484,27.008163452148438
1890,34.42181396484375,30.63733673095703,0,0,30.80425453186035,34.453697204589844,31.048357009887695,29.98857307434082,37.041900634765625,28.021663665771484
1891,36.763545989990234,32.434226989746094,0,0,32.549339294433594,35.999019622802734,30.300371170043945,29.679271697998047,37.946144104003906,25.488672256469727
1892,32.31880187988281,32.332462310791016,0,0,31.496044158935547,33.847320556640625,31.144790649414062,28.366010665893555,0,26.191862106323242
1893,30.652170181274414,33.58510208129883,0,0,30.781248092651367,34.5120849609375,28.135732650756836,29.22821807861328,28.21938705444336,25.637470245361328
1894,32.03776168823242,32.01572799682617,0,0,31.057235717773438,31.46943473815918,27.820188522338867,29.563291549682617,25.538990020751953,27.803203582763672
1895,35.941158294677734,36.31071472167969,0,0,30.0024471282959,28.491479873657227,29.585678100585938,30.334978103637695,31.03586196899414,28.84382438659668
1896,34.69365692138672,35.67784881591797,0,0,32.14411163330078,34.008628845214844,33.15434646606445,32.38208770751953,35.63993835449219,31.2257022857666
1897,30.392593383789062,36.04998779296875,0,0,33.03022003173828,32.70904541015625,31.610509872436523,29.59174346923828,34.384403228759766,27.612478256225586
1898,33.89301681518555,33.85013198852539,0,0,27.73707389831543,32.239376068115234,29.690624237060547,29.79054069519043,31.95952606201172,27.807064056396484
1899,31.081008911132812,30.326148986816406,0,0,29.764360427856445,31.768478393554688,30.77452850341797,30.662830352783203,31.841995239257812,29.035043716430664
1900,31.26668357849121,29.19845962524414,0,0,29.972179412841797,31.666484832763672,25.827251434326172,26.262176513671875,28.302772521972656,29.97162628173828
1901,30.233837127685547,35.787437438964844,0,0,30.184764862060547,33.654232025146484,32.396236419677734,31.80016326904297,30.32781410217285,33.252105712890625
1902,32.94462203979492,32.15863800048828,0,0,30.565975189208984,32.8831787109375,33.031715393066406,32.00199890136719,30.638219833374023,34.78858184814453
1903,30.21196937561035,32.74854278564453,0,0,30.4378604888916,30.29034996032715,30.039379119873047,31.485681533813477,31.296239852905273,29.757152557373047
1904,30.292387008666992,32.054683685302734,0,0,27.435691833496094,30.9295597076416,32.14795684814453,31.97063446044922,32.08934020996094,30.866992950439453
1905,31.011188507080078,31.355968475341797,0,25.39992904663086,28.89610481262207,27.669147491455078,29.901830673217773,30.681838989257812,30.654268264770508,29.46745491027832
1906,29.78350067138672,32.11474609375,0,28.707752227783203,30.173540115356445,31.21653175354004,32.2342643737793,32.56237030029297,31.561756134033203,30.642478942871094
1907,36.159786224365234,33.748390197753906,0,30.034889221191406,31.75434112548828,32.95088577270508,33.38270568847656,35.0069580078125,34.596336364746094,29.901050567626953
1908,31.50615119934082,33.45069122314453,0,28.09782600402832,32.41748809814453,32.76220703125,32.31260681152344,32.32754135131836,31.637813568115234,29.53795051574707
1909,33.796142578125,30.421796798706055,0,31.93562889099121,32.94377899169922,31.745418548583984,33.074249267578125,32.828216552734375,31.276573181152344,34.749549865722656
1910,28.122207641601562,34.297210693359375,0,26.142017364501953,34.33185958862305,32.99252700805664,34.33102035522461,32.384517669677734,30.538978576660156,32.14175033569336
1911,32.913909912109375,35.46794128417969,0,33.96042251586914,32.996429443359375,33.55328369140625,33.23109817504883,32.30909729003906,32.87593078613281,31.792171478271484
1912,27.58980369567871,33.05769729614258,0,27.279081344604492,29.62631607055664,30.230215072631836,29.41651725769043,31.44191551208496,29.74413299560547,28.280057907104492
1913,28.793855667114258,33.97304153442383,0,30.547222137451172,31.115819931030273,34.54597854614258,34.055694580078125,30.664491653442383,33.29956817626953,28.356630325317383
1914,29.332429885864258,36.03727340698242,0,30.80379867553711,36.290992736816406,31.157855987548828,33.91088104248047,30.59011459350586,34.35536193847656,28.537675857543945
1915,30.846426010131836,35.93705368041992,0,28.524608612060547,34.34610366821289,34.852684020996094,34.26667785644531,30.949731826782227,34.34325408935547,32.661903381347656
1916,30.53666877746582,36.120094299316406,0,30.115192413330078,33.55408477783203,31.954975128173828,33.59212112426758,30.359567642211914,33.158653259277344,30.466142654418945
1917,30.332714080810547,35.39102554321289,0,31.6267032623291,34.833370208740234,32.320831298828125,34.495216369628906,30.642620086669922,35.48675537109375,31.085002899169922
1918,29.81427764892578,36.60515594482422,0,31.93868064880371,35.4461555480957,31.953731536865234,34.68475341796875,28.566112518310547,34.78468322753906,30.07750129699707
1919,33.31927490234375,35.864986419677734,0,34.06913375854492,35.277015686035156,34.481258392333984,35.33376693725586,31.345155715942383,34.59756851196289,32.57926940917969
1920,31.686405181884766,35.336700439453125,0,30.918556213378906,36.4661865234375,33.56974411010742,33.9141731262207,31.68284797668457,34.95317077636719,31.305673599243164
1921,32.90021514892578,36.41356658935547,0,29.683868408203125,33.58662796020508,29.4896240234375,32.6468620300293,29.961217880249023,35.57170867919922,32.31692123413086
