year,MRadDistKHA_03_,MRadDistKHA_06_,MRadDistKHA_09_,MRadDistKHA_12_,MRadDistKHA_14_,MRadDistKHA_15_,MRadDistKHA_16_,MRadDistKHA_17_,MRadDistKHA_19_,MRadDistKHA_20_
1892,8162.453125,3971.125,0,0,8205.1484375,9460.78125,10900.8515625,2636.390625,3706.5703125,9232.9609375
1893,8682.828125,4395.140625,0,0,8448.4296875,10099.59375,11500.9375,3346.5078125,4072.4921875,9613.265625
1894,9374.2109375,4843.3515625,0,0,8842.8671875,10793.6796875,12348.3515625,4264.9609375,4756.578125,10028.84375
1895,9749.8671875,5218.78125,0,0,9042.09375,10924.5546875,1839.703125,4978.8984375,5164.640625,10284.7734375
1896,10392.4140625,5656.5078125,0,0,9329.453125,11618.8984375,2613.4140625,6051.7734375,6115.9453125,10694.2109375
1897,11029.3515625,6143.4296875,0,0,9739.8046875,12413.2734375,3316.6953125,7392.3515625,7126.78125,11027.0390625
1898,11313.4296875,6451.0546875,0,0,9825.8125,12725.765625,3616.125,8063.140625,7583.1171875,11150
1899,11541.8203125,6659.046875,0,0,9928.4609375,12870.96875,3947.53125,8712.6640625,7991.90625,11257.953125
1900,11831.7421875,6800.9375,0,0,10074.8359375,13171.8671875,4165.3046875,8922.5859375,8304.15625,11371.8828125
1901,12255.5859375,7103.9765625,0,0,10202.078125,13533.296875,4691.1328125,9395.46875,8780.3515625,11650.34375
1902,12706.21875,7401.46875,0,0,10326.15625,756.6953125,5137.6953125,9890.234375,9237.984375,11887.2578125
1903,932.6484375,7672.625,0,0,10442.8359375,1146.96875,5564.5390625,10329.265625,667.984375,12048.28125
1904,1322.75,7937.3828125,0,0,10534.5234375,1704.7265625,5975.421875,10669.8671875,1035.875,12153.390625
1905,1616.5625,8077.078125,0,342.859375,10615.84375,1912.2109375,6222.8984375,10911.2421875,1305.6875,12242.9375
1906,1908.625,8265.765625,0,624.0859375,10758.9140625,2175.9609375,6507.3046875,11282.65625,1611.7578125,12418.53125
1907,2280.2578125,8454.0234375,0,924.9921875,10880.890625,2504.6875,6744.3671875,11655.1953125,1882.8046875,12582.8515625
1908,3017.5078125,8923.4453125,0,1483.8671875,11256.375,3083.4765625,7251.96875,12436.6796875,2903.21875,12923.4375
