year,MRWKHA_03_,MRWKHA_06_,MRWKHA_09_,MRWKHA_12_,MRWKHA_14_,MRWKHA_15_,MRWKHA_16_,MRWKHA_17_,MRWKHA_19_,MRWKHA_20_
1875,519.0868530273438,265.0356750488281,190.42550659179688,625.7935180664062,73.4753189086914,452.4983825683594,359.8262634277344,494.8591003417969,303.0741882324219,292.19329833984375
1876,315.4313049316406,194.0763397216797,84.89896392822266,408.6923828125,102.65055084228516,201.45167541503906,219.13934326171875,414.9638671875,161.9320526123047,194.159423828125
1877,694.7759399414062,367.7643737792969,216.3413543701172,883.353759765625,291.0374450683594,438.5721130371094,501.0444030761719,801.6187133789062,432.39483642578125,463.73260498046875
1878,451.21875,419.4765625,213.33932495117188,729.7528076171875,350.9729309082031,685.2182006835938,575.385986328125,987.7867431640625,585.2413940429688,481.7760009765625
1879,850.312255859375,429.5151062011719,190.17294311523438,721.7549438476562,291.5890197753906,635.0225830078125,560.1690063476562,808.0348510742188,523.9336547851562,452.42633056640625
1880,962.7786865234375,391.370361328125,178.56813049316406,818.352294921875,211.5065155029297,808.112060546875,603.0188598632812,824.979248046875,532.75830078125,469.38299560546875
1881,747.2591552734375,258.2696228027344,114.9122543334961,703.3993530273438,127.3694076538086,278.9634094238281,404.08563232421875,532.6414184570312,304.85772705078125,341.6680603027344
1882,764.41455078125,243.9375762939453,253.2593994140625,749.2227783203125,164.5003662109375,296.6724853515625,375.111572265625,514.2723388671875,264.24755859375,327.1607971191406
1883,749.163330078125,287.3491516113281,258.561767578125,936.1362915039062,240.1285858154297,542.3204956054688,518.2240600585938,858.7634887695312,475.33258056640625,376.798095703125
1884,234.9332275390625,96.96905517578125,67.97195434570312,328.3598327636719,7.913149356842041,129.22694396972656,133.53125,379.7572021484375,117.6751708984375,108.930419921875
1885,175.9927520751953,37.04385757446289,31.662202835083008,0,14.196993827819824,67.68327331542969,123.61016845703125,404.2314147949219,64.9809341430664,82.70087432861328
1886,288.205078125,208.84320068359375,129.4828643798828,0,136.71055603027344,270.7006530761719,252.6459503173828,610.9469604492188,173.95318603515625,182.20045471191406
1887,465.44940185546875,254.31248474121094,198.671875,0,229.26905822753906,492.5414123535156,481.5219421386719,895.583740234375,252.7255401611328,351.2319030761719
1888,486.5386962890625,158.8302001953125,317.7959289550781,0,195.50193786621094,406.49591064453125,369.00653076171875,1003.154296875,247.09689331054688,334.85394287109375
1889,293.2705078125,95.79841613769531,0,0,131.55023193359375,278.2210388183594,162.1356964111328,530.7661743164062,139.32398986816406,268.92254638671875
1890,320.6884460449219,178.33570861816406,0,0,114.14269256591797,355.9839172363281,299.5950927734375,584.1705322265625,202.38504028320312,328.3046875
1891,721.1912231445312,408.43231201171875,0,0,347.142333984375,738.1035766601562,581.2128295898438,1006.370849609375,466.6383056640625,625.7771606445312
1892,648.6399536132812,497.6319274902344,0,0,404.9410400390625,738.9398803710938,678.107177734375,1108.5938720703125,508.79364013671875,794.513427734375
1893,521.86669921875,424.6633605957031,0,0,242.5234375,635.0911254882812,597.670166015625,710.0054931640625,364.95635986328125,382.5627136230469
1894,689.3023681640625,448.43902587890625,0,0,390.4515075683594,686.7529296875,845.3590698242188,916.8941650390625,688.740234375,417.1889343261719
1895,373.83294677734375,375.4167785644531,0,0,196.68154907226562,133.0941925048828,469.7490539550781,715.1788940429688,399.33636474609375,258.8962097167969
1896,642.3181762695312,437.4469909667969,0,0,283.7167663574219,689.5955200195312,774.9453125,1072.6204833984375,949.048095703125,409.36981201171875
1897,638.5003051757812,486.7244873046875,0,0,404.10882568359375,794.2709350585938,704.1690063476562,1342.1044921875,1012.4489135742188,330.63702392578125
1898,284.67388916015625,308.31573486328125,0,0,85.2122802734375,311.974853515625,297.988525390625,670.2606811523438,449.4791259765625,122.3585433959961
1899,230.2504119873047,208.2429656982422,0,0,101.30186462402344,142.27072143554688,331.40899658203125,644.271240234375,405.37799072265625,107.74305725097656
1900,290.03411865234375,141.60299682617188,0,0,145.6083221435547,303.24151611328125,218.54644775390625,210.31005859375,308.0072326660156,113.88871002197266
1901,423.696533203125,302.14349365234375,0,0,127.27748107910156,359.8592224121094,522.9232788085938,473.1363220214844,459.9087219238281,276.9453125
