year,CWTradKHA_03_,CWTradKHA_06_,CWTradKHA_09_,CWTradKHA_12_,CWTradKHA_14_,CWTradKHA_15_,CWTradKHA_16_,CWTradKHA_17_,CWTradKHA_19_,CWTradKHA_20_
1865,4.956336498260498,5.333205223083496,4.273070812225342,4.796192646026611,4.862756252288818,6.711148738861084,4.798732280731201,3.369854211807251,4.21291446685791,3.7432920932769775
1866,3.2367875576019287,3.938746690750122,3.90051007270813,3.5795905590057373,3.9958300590515137,4.144922733306885,4.363692760467529,2.8495872020721436,3.116668462753296,3.4150094985961914
1867,3.4945452213287354,3.0741209983825684,3.4578471183776855,3.8486478328704834,3.855240821838379,4.005535125732422,4.3544158935546875,2.9250495433807373,3.1758170127868652,4.200021266937256
1868,4.491088390350342,4.621118068695068,4.01200532913208,4.177356243133545,4.025896072387695,5.0737104415893555,4.368833541870117,3.0295534133911133,3.7470643520355225,3.608813762664795
1869,2.7958717346191406,2.881974458694458,2.7104501724243164,2.56390380859375,3.6868128776550293,0,3.7880935668945312,2.174093008041382,2.516838550567627,2.7991340160369873
1870,4.490573406219482,4.07575798034668,3.9020872116088867,3.8800148963928223,4.21683931350708,3.922069787979126,4.738319396972656,3.173208475112915,3.8126938343048096,3.884084463119507
1871,4.16433572769165,5.018278121948242,4.216418743133545,3.8348922729492188,4.157754421234131,4.424396991729736,4.599836826324463,3.4670376777648926,3.607045888900757,3.5076208114624023
1872,4.147303581237793,4.810218811035156,4.390372276306152,4.166405200958252,4.588147163391113,4.867609024047852,4.899469375610352,3.7862308025360107,3.9036664962768555,3.790477752685547
1873,4.080513954162598,4.21695613861084,3.779069423675537,4.0898332595825195,4.119612216949463,3.7246553897857666,4.754395961761475,3.4955577850341797,3.7552366256713867,3.934218645095825
1874,3.3496615886688232,4.109555721282959,4.085754871368408,4.630802631378174,4.00905179977417,3.4508228302001953,4.189653396606445,3.158507823944092,3.1061575412750244,3.880399465560913
1875,3.9587974548339844,4.797144889831543,4.063939571380615,5.234412670135498,4.084775447845459,5.104745864868164,4.39558744430542,3.721865177154541,3.2670326232910156,4.552455425262451
1876,4.581510066986084,5.028515338897705,3.902388572692871,5.076719760894775,4.565087795257568,4.856504917144775,4.71289587020874,3.8464465141296387,3.934171438217163,4.409608840942383
1877,4.089601993560791,4.83723258972168,4.009048938751221,5.638898849487305,4.293381214141846,5.398021221160889,4.874614715576172,3.652902364730835,3.5173590183258057,5.036411762237549
1878,7.5244140625,6.200100421905518,4.125101566314697,5.563196182250977,3.9898738861083984,6.080869197845459,4.5809102058410645,3.960604429244995,3.513596296310425,5.455538272857666
1879,3.855666399002075,4.597589492797852,4.8162384033203125,4.827540397644043,4.3480224609375,5.312996864318848,4.983524799346924,3.3393099308013916,3.4197988510131836,5.7101664543151855
1880,5.893922805786133,4.906074047088623,4.093641757965088,4.219996452331543,4.175317764282227,5.529072284698486,4.986084938049316,3.8635988235473633,3.345019817352295,6.065709114074707
1881,5.718280792236328,4.59102201461792,4.611970901489258,4.676777362823486,4.386633396148682,5.033732891082764,5.823232173919678,3.8071701526641846,3.463458299636841,5.597428798675537
1882,4.610698699951172,3.853834867477417,4.112018585205078,4.674822807312012,4.070451259613037,4.324113368988037,4.650005340576172,3.379455804824829,3.9806618690490723,4.945563793182373
1883,5.110683441162109,4.792164325714111,4.53944730758667,3.7486679553985596,4.350141525268555,4.6774001121521,4.575807571411133,3.6771140098571777,3.8059661388397217,5.283999919891357
1884,3.667602777481079,3.3356401920318604,3.6657047271728516,2.801600694656372,3.7894768714904785,2.9523508548736572,3.7887346744537354,2.7056336402893066,3.545511245727539,3.4435293674468994
1885,3.5458273887634277,3.1872823238372803,3.7567970752716064,0,4.373204708099365,2.91167950630188,3.8289687633514404,2.805135726928711,3.9016621112823486,3.0651400089263916
1886,4.653903961181641,3.722909450531006,3.875917673110962,0,4.011171817779541,3.606931686401367,4.426713466644287,3.530317544937134,3.9084742069244385,4.332280158996582
1887,4.439932346343994,4.348463535308838,3.7604756355285645,0,4.140949726104736,4.615853786468506,4.237056732177734,3.9889283180236816,3.617655038833618,5.044493198394775
1888,4.872097969055176,4.355754852294922,3.8096184730529785,0,3.853055715560913,4.967545986175537,4.540787696838379,4.170170783996582,3.8634400367736816,5.6097636222839355
1889,4.9689836502075195,4.351052284240723,0,0,4.710048675537109,4.3565850257873535,5.177509784698486,3.4045000076293945,3.961916446685791,5.438065528869629
1890,5.271663665771484,4.502721309661865,0,0,4.104923248291016,4.62070894241333,4.540404796600342,3.3794639110565186,3.4414281845092773,5.22457218170166
1891,5.638426780700684,5.018569469451904,0,0,4.201053142547607,4.683133125305176,4.503755569458008,3.2817142009735107,4.064873218536377,5.685478210449219
1892,6.284155368804932,5.228561878204346,0,0,4.995488166809082,5.651937961578369,5.315743446350098,3.8777995109558105,-999,5.977158546447754
1893,5.362545490264893,4.982706069946289,0,0,3.770235300064087,5.0366740226745605,4.988300800323486,3.990628242492676,-999,5.3598127365112305
1894,5.903261184692383,5.789658069610596,0,0,3.9787850379943848,5.5290422439575195,5.001343727111816,4.386027812957764,5.328005790710449,5.805675029754639
1895,4.786371231079102,5.461493968963623,0,0,3.958405017852783,3.7229111194610596,4.417924404144287,3.947786569595337,4.582690238952637,5.569512844085693
1896,5.893401622772217,5.728861331939697,0,0,4.210548400878906,5.129690647125244,4.537440776824951,4.260715961456299,4.348152160644531,5.518123149871826
