year,KhKHA_03_,KhKHA_06_,KhKHA_09_,KhKHA_12_,KhKHA_14_,KhKHA_15_,KhKHA_16_,KhKHA_17_,KhKHA_19_,KhKHA_20_
1858,1.1420412540562958e-8,4.897087136151441e-9,1.1092086565787855e-8,3.7526835135746426e-8,6.9678072205351166e-9,4.2229425153772486e-9,1.2687558301310336e-8,1.0447643620188924e-8,4.670177141159946e-9,2.9526889527736707e-9
1859,6.21218619479292e-9,5.236296936364624e-9,7.62253027809654e-9,1.547878732529271e-8,8.046987474544208e-9,1.652306450635116e-9,9.149688947361282e-9,7.260863380888289e-9,1.0293741803886437e-8,1.9199597864125662e-9
1860,1.3021867583671491e-8,7.541922581830747e-9,1.3262970135807308e-8,3.7790708009000423e-8,9.848608213809268e-9,3.919048690526055e-9,9.003220111649772e-9,1.508836139186625e-8,3.0834276810712544e-8,3.46526515394469e-9
1861,1.7920255712967854e-8,8.167745781567704e-9,1.1826611471523934e-8,3.106707354612037e-8,8.728749169085115e-9,3.940028753536406e-9,1.0972490203284866e-8,1.6359355540393562e-8,1.9114684940113833e-8,2.246859913638211e-9
1862,1.2827825551112436e-8,9.326256769293723e-9,1.063801431171961e-8,2.977933025118256e-8,9.6932996870251e-9,3.228834635501193e-9,1.37972160736766e-8,1.8566673651056332e-8,2.1092154004986867e-8,1.9927085990312555e-9
1863,5.09061615185868e-9,4.199940993382785e-9,9.263143784282215e-9,2.504031723934636e-8,8.068602448142692e-9,1.714850941761281e-9,1.203937430886772e-8,1.599392943810618e-8,1.8406128232635135e-8,9.666059606963517e-10
1864,1.0853400401005026e-8,7.872976883019917e-9,1.3229568454602075e-8,3.240263584488788e-8,1.3574899893888188e-8,2.7589226688011427e-9,0,1.6288888158655834e-8,2.075418109915184e-8,1.0530041691285987e-9
1865,2.163150303875156e-8,6.460580623607396e-9,1.3053724847058296e-8,2.8943365748616583e-8,1.342557236578143e-8,2.8510230064776833e-9,6.8150074422238215e-9,1.8862897312932115e-8,1.9497597372643507e-8,4.734200425529909e-9
1866,5.7170042649479375e-9,2.609673233928548e-9,2.539788286669369e-9,1.277260249800081e-8,3.0212839964634333e-9,1.456861689524374e-9,3.555674737399062e-9,6.807538759813626e-9,3.707146234679798e-9,3.871527828903221e-9
1867,6.384106100581008e-9,1.501780551538274e-9,3.4715818955356685e-9,1.2997236771108862e-8,4.831523991791771e-9,3.1062446306873192e-9,4.4583696668998505e-9,8.892364005434624e-9,5.3263107212374286e-9,1.5116508375557163e-9
1868,2.4920437542568782e-8,6.05884468153952e-9,1.5274723530627784e-8,2.9681269525771233e-8,1.2170996178411689e-8,6.364828505870234e-9,1.5033906485827517e-8,1.7316405568452173e-8,1.872128099486852e-8,7.863706826764197e-9
1869,7.134693378896882e-9,3.3808778262217017e-9,5.366746434667756e-12,1.0205634643632123e-8,1.7244754308232243e-9,0,3.940037135455262e-9,6.647520291844872e-9,1.7228447805751714e-9,1.654131334595319e-9
1870,9.021731242335388e-9,2.9206511434919313e-9,5.4293031196134995e-9,2.541297596160261e-9,1.8227993915625352e-9,1.1013593021765036e-8,5.734661709999538e-9,5.258128366089524e-9,3.6400326981355832e-9,1.920483622129771e-9
